"SERIALNO","AGE","WRKLYR","MILITARY","INCTOT"
"0025181",40,"1",4,12100
"0025181",10,"0",0,NA
"0025181",8,"0",0,NA
"0025306",25,"1",4,28000
"0025929",61,"1",4,16300
"0026191",39,"1",4,4800
"0026191",40,"1",4,43000
"0026191",12,"0",0,NA
"0026191",10,"0",0,NA
"0026233",79,"2",4,8400
"0026560",41,"1",4,33500
"0026560",46,"1",4,850
"0026560",15,"0",0,0
"0026560",14,"0",0,NA
"0026894",32,"1",4,21000
"0026894",31,"2",4,12400
"0026894",9,"0",0,NA
"0026894",7,"0",0,NA
"0027951",41,"1",4,18600
"0027951",44,"1",4,15000
"0027951",6,"0",0,NA
"0028570",76,"2",2,20600
"0028570",70,"2",4,7800
"0029844",44,"1",4,20400
"0029844",43,"1",4,57700
"0029844",10,"0",0,NA
"0029844",5,"0",0,NA
"0031323",58,"1",2,1e+05
"0031323",57,"1",4,7400
"0031429",83,"1",4,7100
"0031429",57,"2",4,8000
"0033086",69,"2",4,12300
"0033086",70,"2",4,11400
"0034611",53,"1",2,4770
"0034671",29,"1",4,16000
"0034671",33,"1",4,13000
"0035136",45,"1",4,41540
"0036360",61,"2",4,0
"0036360",60,"2",4,24000
"0037109",35,"2",4,7100
"0037109",35,"2",4,7400
"0037109",6,"0",0,NA
"0037109",3,"0",0,NA
"0037761",28,"1",4,15000
"0037761",8,"0",0,NA
"0037761",25,"1",4,9800
"0037761",17,"1",4,9200
"0038470",71,"2",2,20900
"0038494",53,"1",2,30000
"0038494",52,"1",4,45000
"0039709",42,"1",4,8200
"0039709",39,"1",4,7000
"0039709",14,"0",0,NA
"0040072",67,"1",4,13120
"0040072",53,"1",4,19740
"0041102",43,"1",4,32500
"0041102",77,"2",4,3300
"0041456",39,"1",4,40000
"0041456",33,"1",4,19000
"0041456",11,"0",0,NA
"0041456",8,"0",0,NA
"0041456",1,"0",0,NA
"0041689",34,"1",4,30000
"0042383",82,"2",4,27000
"0042383",78,"2",4,5000
"0042480",38,"1",4,28000
"0043709",52,"1",2,12920
"0043709",53,"1",4,24920
"0043709",26,"1",4,6000
"0043760",41,"1",4,39000
"0043760",42,"1",4,1500
"0043760",10,"0",0,NA
"0043760",8,"0",0,NA
"0043760",6,"0",0,NA
"0043760",4,"0",0,NA
"0043760",0,"0",0,NA
"0043760",17,"1",4,2900
"0043994",40,"1",4,23000
"0044367",51,"1",2,30950
"0044367",18,"1",4,35600
"0044367",17,"1",4,36000
"0048288",78,"2",2,13500
"0048288",77,"1",4,9700
"0049257",55,"2",4,750
"0049681",41,"1",4,82200
"0049794",69,"2",4,2700
"0051155",50,"1",4,20390
"0051155",16,"2",0,0
"0051566",37,"1",4,35900
"0051566",30,"1",4,7300
"0051566",4,"0",0,NA
"0051566",1,"0",0,NA
"0052069",26,"1",4,11300
"0052069",31,"2",4,5900
"0052069",1,"0",0,NA
"0052069",44,"2",4,7000
"0052069",11,"0",0,NA
"0054205",58,"2",4,11300
"0054205",55,"1",4,11500
"0056755",60,"1",3,30000
"0056755",58,"2",4,0
"0056882",66,"2",2,14600
"0056882",69,"1",4,48900
"0057563",66,"2",4,5100
"0057623",62,"2",4,33900
"0057623",57,"2",4,1200
"0058019",77,"2",4,9300
"0058203",66,"2",2,13200
"0058203",59,"1",4,21000
"0058306",47,"1",4,25500
"0058705",55,"1",4,5200
"0061929",30,"1",4,27000
"0061929",33,"2",4,0
"0061929",9,"0",0,NA
"0061929",7,"0",0,NA
"0061929",4,"0",0,NA
"0061929",2,"0",0,NA
"0061929",0,"0",0,NA
"0062988",36,"1",4,10600
"0062988",14,"0",0,NA
"0062988",12,"0",0,NA
"0062996",71,"2",2,37600
"0062996",51,"2",4,0
"0063171",82,"2",4,17600
"0063422",31,"2",4,10100
"0063422",12,"0",0,NA
"0063422",11,"0",0,NA
"0063422",9,"0",0,NA
"0063422",42,"1",4,11700
"0063422",18,"1",4,3000
"0063422",15,"0",0,0
"0063506",41,"1",4,94000
"0063506",43,"1",4,40000
"0063506",8,"0",0,NA
"0063506",5,"0",0,NA
"0063941",61,"2",3,8000
"0063941",43,"1",4,18550
"0063941",16,"1",0,4850
"0063941",11,"0",0,NA
"0065352",60,"1",4,32000
"0066251",33,"1",4,30010
"0066498",44,"1",4,39000
"0066498",45,"1",4,49000
"0066498",14,"0",0,NA
"0066498",12,"0",0,NA
"0066498",11,"0",0,NA
"0066733",55,"1",4,48200
"0066733",56,"2",4,0
"0066733",24,"1",4,10860
"0067911",41,"1",4,40000
"0067911",28,"1",4,11000
"0067911",16,"2",0,460
"0068740",39,"1",4,24700
"0068740",8,"0",0,NA
"0068740",24,"1",4,24200
"0070386",55,"1",4,53600
"0070386",0,"0",0,NA
"0070386",40,"1",4,30770
"0071188",30,"1",4,64150
"0071188",31,"1",4,34300
"0071331",41,"1",4,43300
"0071331",41,"1",4,13000
"0071331",5,"0",0,NA
"0072245",19,"1",4,21000
"0072245",14,"0",0,NA
"0072245",11,"0",0,NA
"0072245",7,"0",0,NA
"0072245",40,"1",4,47500
"0072245",39,"1",2,21800
"0073429",71,"2",4,9100
"0073902",36,"1",4,22000
"0073902",36,"1",3,3000
"0073902",6,"0",0,NA
"0073902",4,"0",0,NA
"0073902",1,"0",0,NA
"0074159",58,"1",2,12000
"0074907",46,"1",4,12000
"0074907",13,"0",0,NA
"0074907",9,"0",0,NA
"0076268",38,"1",4,31600
"0076268",12,"0",0,NA
"0076268",6,"0",0,NA
"0076268",6,"0",0,NA
"0076398",28,"1",4,7030
"0076398",28,"1",4,57000
"0076890",18,"1",4,1200
"0076941",64,"1",2,28530
"0076941",63,"2",4,0
"0078493",51,"1",4,26500
"0078493",54,"2",4,0
"0078828",45,"2",4,0
"0079470",76,"2",4,25900
"0080149",42,"1",4,35000
"0080149",43,"1",4,32970
"0081685",40,"1",2,9200
"0082265",36,"1",2,24000
"0082265",31,"1",4,14000
"0082265",25,"1",4,5200
"0082508",69,"1",4,23170
"0082773",38,"1",4,25600
"0083446",49,"1",4,20000
"0085559",20,"1",4,12000
"0085978",78,"2",4,4160
"0085978",71,"2",4,15600
"0086728",30,"1",4,24500
"0086728",24,"1",4,22000
"0087133",23,"1",4,35030
"0087133",19,"2",4,2500
"0087133",5,"0",0,NA
"0087133",0,"0",0,NA
"0087413",31,"1",4,43800
"0088804",48,"1",4,309200
"0088804",47,"1",4,39000
"0088804",19,"1",4,2000
"0088804",16,"2",0,130
"0088863",37,"2",4,-10000
"0089897",25,"1",4,30000
"0089897",23,"1",4,9000
"0090084",38,"1",4,30000
"0090523",59,"1",4,8530
"0090523",54,"1",4,40800
"0090981",22,"1",4,8000
"0091246",18,"1",4,1900
"0091500",76,"2",2,12600
"0091500",69,"2",4,1470
"0093026",20,"1",4,10200
"0093026",0,"0",0,NA
"0093026",23,"1",4,27000
"0093908",66,"1",4,11600
"0094154",57,"1",3,62000
"0094154",54,"1",4,22000
"0094154",28,"1",4,18000
"0094416",72,"1",2,28200
"0094416",64,"1",4,8800
"0094572",33,"2",4,66000
"0094572",2,"0",0,NA
"0096682",39,"1",4,30340
"0096682",44,"1",4,20000
"0096682",11,"0",0,NA
"0096929",30,"1",4,40000
"0096929",27,"1",4,40000
"0097219",37,"1",4,29040
"0097219",34,"1",2,35040
"0097219",3,"0",0,NA
"0097219",0,"0",0,NA
"0098015",69,"2",4,26800
"0098052",66,"1",2,30800
"0098052",68,"2",4,4100
"0099073",60,"1",4,52300
"0099073",61,"2",4,0
"0102061",68,"2",3,8000
"0102413",56,"1",4,44800
"0102454",53,"1",4,50200
"0102454",47,"1",4,91000
"0102454",21,"1",4,5000
"0102454",18,"2",4,0
"0102788",47,"1",4,29000
"0102788",39,"2",4,0
"0102788",9,"0",0,NA
"0103985",23,"1",4,28130
"0105472",43,"1",4,38004
"0105472",38,"1",4,22000
"0105472",0,"0",0,NA
"0105472",6,"0",0,NA
"0106405",42,"1",2,30000
"0106405",41,"1",4,22000
"0106405",5,"0",0,NA
"0106405",12,"0",0,NA
"0106405",78,"2",4,15000
"0108905",46,"1",4,80000
"0108905",38,"2",4,0
"0108905",3,"0",0,NA
"0108905",0,"0",0,NA
"0108933",45,"1",4,38250
"0108933",45,"1",4,38250
"0108933",6,"0",0,NA
"0108933",5,"0",0,NA
"0109007",80,"2",2,45900
"0109007",78,"2",4,4400
"0110327",24,"1",4,17600
"0110327",21,"1",4,23000
"0110968",48,"1",4,54000
"0112169",21,"1",4,8000
"0112169",23,"1",4,8000
"0112169",22,"1",4,5000
"0112248",47,"1",4,39000
"0112248",30,"1",4,12000
"0113112",44,"1",4,23800
"0113311",48,"1",2,41700
"0113311",48,"1",2,40920
"0115867",63,"1",4,45000
"0115867",61,"1",4,10100
"0117123",31,"1",4,21020
"0117123",31,"1",4,23000
"0119128",63,"1",2,23000
"0119128",57,"1",4,2400
"0119128",40,"2",4,2400
"0119366",40,"1",4,42700
"0119987",70,"2",3,17200
"0119987",57,"2",4,18000
"0122002",63,"1",4,30370
"0122002",64,"1",4,13400
"0122185",67,"2",4,11600
"0122185",67,"1",4,11370
"0122301",61,"1",4,48000
"0122770",28,"1",4,30000
"0122770",30,"1",4,30000
"0123703",57,"2",2,5300
"0125529",29,"1",4,20000
"0125529",34,"1",4,32000
"0125529",8,"0",0,NA
"0125529",2,"0",0,NA
"0126350",33,"1",4,45000
"0126350",36,"1",4,140000
"0126350",3,"0",0,NA
"0126350",1,"0",0,NA
"0126692",54,"1",4,31500
"0126692",56,"1",4,25500
"0127065",22,"1",4,96040
"0127065",24,"1",4,29000
"0127557",55,"1",4,42000
"0129883",57,"2",3,10100
"0129883",63,"1",4,13820
"0129914",75,"2",4,28600
"0131456",51,"1",2,66400
"0131456",52,"1",4,5400
"0131456",87,"2",4,12300
"0133740",93,"2",4,8500
"0134268",52,"1",4,35000
"0134268",40,"1",4,47000
"0134488",30,"1",3,29000
"0134488",28,"1",4,450
"0134488",2,"0",0,NA
"0135774",44,"1",3,21000
"0135774",38,"1",4,17000
"0135774",7,"0",0,NA
"0135774",4,"0",0,NA
"0136858",19,"2",4,1700
"0137634",85,"2",4,5200
"0137786",34,"1",4,45000
"0137786",3,"0",0,NA
"0137786",1,"0",0,NA
"0137786",23,"2",4,3600
"0138686",32,"1",4,-3000
"0138686",30,"1",4,21000
"0138686",1,"0",0,NA
"0139492",82,"2",3,9880
"0140820",93,"2",4,1000
"0140895",59,"1",4,29400
"0140895",57,"1",4,1200
"0142023",27,"1",4,3900
"0142023",30,"1",4,9800
"0142023",12,"0",0,NA
"0142023",5,"0",0,NA
"0145882",44,"1",3,39610
"0145882",39,"1",4,12200
"0145882",17,"1",4,3500
"0145882",15,"0",0,0
"0145882",12,"0",0,NA
"0145882",11,"0",0,NA
"0145882",8,"0",0,NA
"0146455",81,"2",2,60800
"0146455",76,"2",4,6900
"0146933",32,"1",4,311000
"0147199",23,"2",4,0
"0147199",6,"0",0,NA
"0147199",0,"0",0,NA
"0147199",37,"1",3,20800
"0149561",93,"2",4,10600
"0149763",64,"2",4,0
"0149955",81,"2",4,18900
"0149955",60,"1",4,370
"0149955",35,"1",4,480
"0150641",44,"1",4,35050
"0150641",49,"1",4,39010
"0150641",12,"0",0,NA
"0150641",11,"0",0,NA
"0150840",68,"2",2,117600
"0150840",52,"2",4,0
"0151657",76,"2",4,24000
"0152983",48,"1",4,20000
"0152983",47,"1",4,35000
"0153947",39,"1",2,31600
"0153947",10,"0",0,NA
"0154058",29,"1",4,35000
"0154439",62,"1",4,25000
"0154459",42,"1",4,10000
"0154459",44,"1",4,10000
"0154459",16,"1",0,500
"0154459",14,"0",0,NA
"0154605",70,"2",2,2200
"0154605",65,"2",3,0
"0154809",76,"2",2,21600
"0154809",72,"2",4,6200
"0156878",49,"1",4,41960
"0156878",43,"1",4,45560
"0160908",57,"1",4,45000
"0160908",50,"1",4,36000
"0160908",17,"1",4,4800
"0160908",13,"0",0,NA
"0161159",53,"1",4,54300
"0161159",49,"1",4,35340
"0161159",18,"1",4,1670
"0161159",14,"0",0,NA
"0161906",24,"1",4,23000
"0161906",25,"1",4,16500
"0162332",42,"1",4,71600
"0162332",42,"1",4,28100
"0162332",21,"1",4,33500
"0162332",16,"2",0,0
"0162487",51,"1",4,23600
"0162487",46,"1",4,6600
"0164733",59,"1",4,52000
"0164733",59,"2",4,7200
"0165355",47,"1",4,120000
"0165355",45,"2",4,0
"0165425",41,"1",4,14100
"0165425",53,"1",4,22200
"0165425",15,"0",0,0
"0165425",85,"2",4,8000
"0165591",43,"1",4,48000
"0165591",43,"2",4,6500
"0166312",25,"1",4,30100
"0167941",72,"2",4,23000
"0167941",13,"0",0,NA
"0167957",20,"1",4,7000
"0167957",17,"1",4,6400
"0169356",20,"1",4,1000
"0170093",68,"2",3,10900
"0170229",48,"1",4,48000
"0170229",48,"2",4,11700
"0170229",14,"0",0,NA
"0170631",56,"1",2,26000
"0170631",50,"1",4,24500
"0171619",73,"2",4,12500
"0171695",57,"1",4,38900
"0171695",58,"1",4,19500
"0172209",47,"1",4,29100
"0172209",49,"1",4,25200
"0172297",83,"2",4,8400
"0176169",53,"2",4,0
"0176169",23,"1",4,10000
"0176259",47,"1",3,27800
"0176259",44,"1",4,21730
"0176259",18,"1",4,6630
"0176259",15,"0",0,1430
"0176259",10,"0",0,NA
"0177340",70,"1",2,47870
"0177340",54,"2",2,0
"0177340",16,"2",0,0
"0177340",14,"0",0,NA
"0177340",13,"0",0,NA
"0177924",70,"2",4,27000
"0177924",62,"1",4,8000
"0179446",23,"1",4,1000
"0179446",21,"1",4,13000
"0179446",5,"0",0,NA
"0179446",1,"0",0,NA
"0179516",42,"1",4,142004
"0179516",38,"2",4,0
"0179516",14,"0",0,NA
"0179516",12,"0",0,NA
"0179516",11,"0",0,NA
"0181257",37,"1",4,13900
"0181257",39,"1",4,29000
"0181257",17,"1",4,5400
"0181257",16,"1",0,1100
"0181257",7,"0",0,NA
"0181325",43,"1",4,10000
"0181325",42,"2",4,0
"0182235",62,"1",4,26000
"0182235",58,"1",4,18700
"0182886",85,"2",2,22600
"0183989",54,"1",2,45900
"0183989",53,"1",4,10000
"0184649",65,"1",4,27100
"0186445",39,"2",4,0
"0186445",14,"0",0,NA
"0186445",12,"0",0,NA
"0186445",10,"0",0,NA
"0186445",9,"0",0,NA
"0186554",32,"1",4,5600
"0186554",34,"1",4,24400
"0186554",3,"0",0,NA
"0186554",0,"0",0,NA
"0187572",54,"1",2,77100
"0187572",53,"1",4,11000
"0187572",27,"1",4,12000
"0187723",21,"1",4,1300
"0187723",23,"1",4,1300
"0187723",21,"1",4,4800
"0187723",19,"1",4,24000
"0187832",44,"2",4,0
"0188488",24,"1",4,2000
"0188488",3,"0",0,NA
"0188488",0,"0",0,NA
"0188488",0,"0",0,NA
"0190219",19,"1",4,82000
"0190305",53,"1",4,28000
"0190580",75,"1",2,132700
"0190580",65,"2",4,5400
"0192227",79,"2",4,11100
"0192367",68,"2",4,10200
"0193243",50,"1",4,46250
"0193243",56,"1",4,13000
"0194007",68,"1",4,16500
"0195545",29,"1",4,63000
"0195545",28,"1",4,18000
"0195545",7,"0",0,NA
"0195545",5,"0",0,NA
"0197007",40,"1",4,14500
"0197007",39,"1",4,55000
"0197007",12,"0",0,NA
"0197007",11,"0",0,NA
"0197007",9,"0",0,NA
"0197484",37,"1",4,290000
"0197484",39,"2",4,0
"0197484",17,"2",4,0
"0197484",15,"0",0,0
"0200322",72,"2",4,4000
"0200711",58,"1",4,10800
"0201141",74,"2",2,25000
"0201141",72,"2",4,7200
"0201159",18,"1",4,4900
"0201202",61,"1",2,35800
"0201215",55,"1",2,45050
"0201215",53,"2",4,0
"0201610",56,"1",2,5320
"0201610",54,"1",4,38000
"0201756",62,"1",4,2720
"0201756",61,"1",4,27800
"0203077",33,"1",4,45000
"0203077",33,"2",4,30000
"0203077",7,"0",0,NA
"0203077",3,"0",0,NA
"0203672",49,"2",4,0
"0203672",56,"1",2,37200
"0203672",16,"2",0,0
"0203927",39,"1",4,25000
"0203927",39,"1",4,1900
"0205306",31,"1",4,50400
"0205559",34,"2",4,6000
"0206021",76,"2",4,32000
"0207464",75,"2",4,40000
"0207464",71,"2",4,4000
"0209337",39,"1",4,20000
"0209337",38,"1",4,43000
"0209337",14,"0",0,NA
"0209619",23,"1",4,5200
"0209745",51,"1",2,30000
"0209745",48,"1",4,2300
"0209745",79,"2",4,43900
"0210009",52,"1",4,17500
"0210009",48,"1",4,16000
"0210009",27,"1",4,17730
"0210009",23,"1",4,4000
"0210702",31,"1",4,30000
"0210702",30,"1",4,18200
"0211074",56,"1",4,48000
"0211074",55,"1",4,22400
"0211238",64,"1",4,28200
"0211238",62,"2",4,4100
"0211247",57,"1",3,58000
"0211247",53,"1",4,18000
"0211612",31,"1",4,18100
"0211612",28,"1",4,21000
"0211874",35,"1",4,16800
"0212734",73,"1",2,28600
"0212734",53,"2",4,0
"0214440",38,"1",4,20000
"0214440",41,"1",4,38770
"0214440",15,"0",0,0
"0214440",14,"0",0,NA
"0214440",11,"0",0,NA
"0215302",50,"1",2,19000
"0215302",53,"1",4,3800
"0215302",43,"1",4,28900
"0215853",89,"2",4,4860
"0215853",83,"2",4,4400
"0215948",26,"1",4,6700
"0215948",26,"1",4,6700
"0215948",4,"0",0,NA
"0215948",0,"0",0,NA
"0217577",59,"2",2,13000
"0217577",69,"2",4,6340
"0217918",56,"1",4,54000
"0217918",57,"1",4,40750
"0218405",50,"1",2,7700
"0218519",36,"1",4,54130
"0218519",38,"1",4,3550
"0218519",13,"0",0,NA
"0218519",13,"0",0,NA
"0218519",4,"0",0,NA
"0218519",17,"1",4,2900
"0218678",54,"1",2,51400
"0221032",38,"2",4,8200
"0221032",39,"1",4,108360
"0221032",6,"0",0,NA
"0221032",3,"0",0,NA
"0222967",76,"2",4,12100
"0222967",69,"2",4,0
"0224208",72,"1",2,34500
"0224208",63,"2",4,10200
"0224208",35,"1",4,14890
"0225901",70,"1",4,84500
"0225901",41,"1",4,28500
"0226885",42,"1",4,7000
"0226885",42,"1",4,3200
"0227665",19,"1",4,6000
"0228467",29,"1",4,25000
"0228467",42,"1",4,60000
"0229383",45,"1",2,37000
"0229383",35,"1",2,6000
"0229383",16,"1",0,600
"0231468",46,"1",2,24200
"0232274",29,"1",4,50000
"0232274",28,"1",4,28000
"0232274",7,"0",0,NA
"0232274",5,"0",0,NA
"0235778",52,"2",4,105000
"0235778",53,"1",3,40100
"0236911",45,"1",4,46200
"0236911",13,"0",0,NA
"0236911",6,"0",0,NA
"0236911",34,"1",4,26400
"0237123",72,"2",2,23500
"0237123",70,"1",4,5140
"0237280",22,"1",4,3200
"0237353",89,"2",4,24800
"0237353",52,"1",4,8900
"0238226",44,"1",4,57000
"0238226",44,"1",4,9000
"0238226",18,"1",4,2000
"0238226",15,"0",0,0
"0240070",19,"1",4,10400
"0240900",48,"1",4,66870
"0241015",71,"2",4,3700
"0241015",56,"1",4,12900
"0241015",37,"1",2,15200
"0241015",16,"2",0,0
"0241015",14,"0",0,NA
"0242475",46,"1",3,294300
"0242475",45,"1",4,30000
"0242475",17,"2",4,200
"0242952",57,"1",4,14000
"0243131",29,"1",4,115000
"0243131",31,"2",4,0
"0243131",1,"0",0,NA
"0243283",57,"1",4,78000
"0243681",55,"1",4,37000
"0243681",53,"1",4,24000
"0243803",66,"2",4,9200
"0243803",42,"1",4,5500
"0245003",74,"2",4,0
"0246338",53,"2",2,11570
"0246338",48,"2",4,1000
"0247838",64,"1",4,28700
"0248251",72,"2",4,33200
"0250096",93,"2",2,9090
"0250230",38,"1",4,36600
"0250230",35,"1",4,91500
"0250230",7,"0",0,NA
"0250230",3,"0",0,NA
"0251460",76,"2",4,6004
"0251603",77,"2",4,17400
"0251858",34,"1",4,42300
"0251858",34,"1",4,5800
"0251858",9,"0",0,NA
"0251858",2,"0",0,NA
"0252784",74,"2",4,17400
"0254052",44,"1",4,36000
"0254052",47,"1",4,57000
"0254052",26,"1",4,24000
"0254052",21,"1",4,17000
"0254169",33,"1",4,25000
"0254169",31,"1",4,47000
"0254654",41,"1",4,38800
"0254654",41,"1",4,28000
"0254654",18,"1",4,14000
"0254654",15,"0",0,0
"0255545",34,"1",4,30050
"0256015",80,"2",4,6300
"0257117",77,"2",4,17600
"0257512",57,"2",4,8200
"0258149",58,"2",2,7220
"0259844",46,"2",4,13510
"0259844",43,"1",4,26500
"0261448",69,"2",4,10350
"0261766",86,"2",2,8000
"0261766",37,"2",4,6100
"0263184",77,"2",4,7514
"0263242",58,"1",4,19600
"0263242",22,"1",4,6600
"0263242",18,"1",4,250
"0264830",38,"1",4,30000
"0264830",33,"1",4,20000
"0265005",77,"2",4,9100
"0267195",22,"1",4,16000
"0267195",2,"0",0,NA
"0267195",21,"1",4,12550
"0267776",24,"1",4,25300
"0267776",21,"1",4,3600
"0267776",2,"0",0,NA
"0267776",1,"0",0,NA
"0268263",58,"1",4,36590
"0268263",54,"1",4,21500
"0268294",37,"1",4,26100
"0268294",14,"0",0,NA
"0268294",14,"0",0,NA
"0268294",26,"2",4,0
"0268982",23,"1",4,15000
"0268982",28,"1",4,23000
"0268982",2,"0",0,NA
"0269044",87,"2",4,50000
"0269165",43,"1",4,39510
"0269165",41,"1",4,8000
"0269165",12,"0",0,NA
"0269542",42,"1",2,25000
"0269542",31,"2",4,0
"0269542",7,"0",0,NA
"0269542",5,"0",0,NA
"0271814",77,"2",4,119000
"0271814",75,"2",2,112700
"0272042",77,"2",4,14700
"0272133",47,"1",4,14000
"0272133",43,"1",4,15000
"0272133",22,"1",4,19000
"0272133",19,"1",4,1000
"0272656",65,"1",2,125000
"0272841",54,"1",4,319000
"0272841",41,"1",4,35000
"0273672",53,"1",2,27400
"0273672",50,"1",4,35220
"0273672",27,"1",4,22560
"0274583",30,"1",4,45000
"0274583",25,"1",4,28000
"0274583",5,"0",0,NA
"0275287",36,"1",4,21100
"0275287",34,"1",4,5600
"0275287",16,"1",0,2800
"0275287",13,"0",0,NA
"0275287",12,"0",0,NA
"0276157",56,"1",4,20400
"0276157",55,"1",4,28600
"0276893",32,"1",3,46530
"0276893",37,"2",4,0
"0276893",6,"0",0,NA
"0276893",5,"0",0,NA
"0277152",78,"2",4,29140
"0278225",51,"1",4,48000
"0278496",64,"2",2,8800
"0278515",49,"1",4,33700
"0278515",46,"1",4,20600
"0278515",20,"1",4,1300
"0279492",19,"1",4,18000
"0281199",71,"2",4,18700
"0282808",52,"1",4,13700
"0283214",19,"1",4,5000
"0284495",78,"2",4,15500
"0285098",79,"2",2,15500
"0285098",77,"2",4,6000
"0286300",30,"1",4,40390
"0287012",50,"2",4,3500
"0289906",35,"1",4,35000
"0290694",72,"2",2,152300
"0290694",70,"2",4,0
"0290770",37,"1",4,25200
"0290770",15,"0",0,0
"0292080",50,"1",2,26050
"0292080",21,"1",4,23000
"0292080",16,"1",0,1200
"0292190",31,"1",4,30000
"0292190",34,"1",4,7000
"0292190",11,"0",0,NA
"0292190",16,"2",0,0
"0292190",55,"2",4,10300
"0292267",61,"1",2,20000
"0292267",41,"1",4,13000
"0292434",54,"1",2,20000
"0292434",52,"1",4,31000
"0292998",49,"1",4,65230
"0292998",52,"1",4,107000
"0293551",59,"1",4,17000
"0293551",36,"1",4,42270
"0293551",8,"0",0,NA
"0293551",5,"0",0,NA
"0293551",35,"1",4,40000
"0293660",49,"1",2,11200
"0293832",74,"2",4,10400
"0293832",81,"2",4,6000
"0294169",33,"1",4,25020
"0294169",26,"1",4,10000
"0295496",79,"2",4,0
"0297004",53,"2",2,105000
"0297004",48,"1",4,10000
"0297004",18,"2",4,0
"0297004",15,"0",0,0
"0297330",40,"2",4,6700
"0299343",89,"2",2,15000
"0299343",80,"2",4,7200
"0301368",34,"1",4,26000
"0301368",0,"0",0,NA
"0301368",21,"1",4,50
"0301380",24,"1",4,18000
"0301389",43,"1",4,45000
"0302419",77,"2",2,33700
"0302419",67,"2",4,7700
"0302877",79,"2",2,15000
"0302877",74,"2",4,4800
"0304515",38,"1",2,22000
"0304515",44,"1",4,7300
"0305821",35,"1",4,40000
"0308014",69,"2",4,16200
"0309282",37,"1",4,50000
"0309282",37,"2",4,0
"0309282",5,"0",0,NA
"0309282",5,"0",0,NA
"0310311",37,"1",4,20000
"0310311",17,"2",4,0
"0310418",37,"1",4,41000
"0310418",41,"1",2,21000
"0310418",10,"0",0,NA
"0310418",8,"0",0,NA
"0310418",6,"0",0,NA
"0311747",32,"1",4,18000
"0311747",14,"0",0,NA
"0311747",12,"0",0,NA
"0311747",10,"0",0,NA
"0312438",44,"1",4,25600
"0312438",9,"0",0,NA
"0312841",36,"1",3,33000
"0312841",38,"1",3,35000
"0312841",13,"0",0,NA
"0312841",10,"0",0,NA
"0312841",5,"0",0,NA
"0313976",75,"2",4,15300
"0313976",79,"2",4,9450
"0314776",40,"1",4,59000
