process,pid,rss,full_rss,uss,event,children,time
MainProcess,8756,137_338_880,137_338_880,130_502_656,pipeline.run_model integerize_final_seed_weights start,0,2022/08/02 10:54:57.888930
MainProcess,8756,141_537_280,141_537_280,135_344_128,pipeline.run_model integerize_final_seed_weights finished,0,2022/08/02 10:54:59.568931
MainProcess,8756,142_913_536,142_913_536,135_892_992,pipeline.run after integerize_final_seed_weights,0,2022/08/02 10:54:59.619930
MainProcess,8756,142_913_536,142_913_536,135_892_992,pipeline.run_model sub_balancing.geography=TRACT start,0,2022/08/02 10:54:59.634934
MainProcess,8756,148_889_600,148_889_600,142_884_864,pipeline.run_model sub_balancing.geography=TRACT finished,0,2022/08/02 10:56:07.289812
MainProcess,8756,151_105_536,151_105_536,144_478_208,pipeline.run after sub_balancing.geography=TRACT,0,2022/08/02 10:56:07.408839
MainProcess,8756,151_498_752,151_498_752,144_478_208,pipeline.run_model sub_balancing.geography=BG start,0,2022/08/02 10:56:07.429837
MainProcess,8756,161_775_616,161_775_616,155_742_208,pipeline.run_model sub_balancing.geography=BG finished,0,2022/08/02 10:57:56.093804
MainProcess,8756,164_352_000,164_352_000,157_310_976,pipeline.run after sub_balancing.geography=BG,0,2022/08/02 10:57:56.191806
MainProcess,8756,164_352_000,164_352_000,157_310_976,pipeline.run_model expand_households start,0,2022/08/02 10:57:56.206805
MainProcess,8756,167_292_928,167_292_928,160_608_256,pipeline.run_model expand_households finished,0,2022/08/02 10:58:00.276674
MainProcess,8756,168_136_704,168_136_704,161_095_680,pipeline.run after expand_households,0,2022/08/02 10:58:00.335678
MainProcess,8756,168_136_704,168_136_704,161_095_680,pipeline.run_model write_data_dictionary start,0,2022/08/02 10:58:00.356952
MainProcess,8756,170_164_224,170_164_224,163_418_112,pipeline.run_model write_data_dictionary finished,0,2022/08/02 10:58:02.400902
MainProcess,8756,170_455_040,170_455_040,163_414_016,pipeline.run after write_data_dictionary,0,2022/08/02 10:58:02.591516
MainProcess,8756,170_455_040,170_455_040,163_414_016,pipeline.run_model summarize start,0,2022/08/02 10:58:02.612519
MainProcess,8756,166_924_288,166_924_288,160_894_976,pipeline.run_model summarize finished,0,2022/08/02 10:58:06.059551
MainProcess,8756,171_405_312,171_405_312,164_495_360,pipeline.run after summarize,0,2022/08/02 10:58:06.285555
MainProcess,8756,171_540_480,171_540_480,164_499_456,pipeline.run_model write_tables start,0,2022/08/02 10:58:06.304554
MainProcess,8756,175_034_368,175_034_368,167_993_344,pipeline.run_model write_tables finished,0,2022/08/02 10:58:06.607580
MainProcess,8756,175_034_368,175_034_368,167_993_344,pipeline.run after write_tables,0,2022/08/02 10:58:06.680552
MainProcess,8756,175_034_368,175_034_368,167_993_344,pipeline.run_model write_synthetic_population start,0,2022/08/02 10:58:06.702553
MainProcess,8756,170_463_232,170_463_232,164_401_152,pipeline.run_model write_synthetic_population finished,0,2022/08/02 10:58:08.138811
MainProcess,8756,171_442_176,171_442_176,164_401_152,pipeline.run after write_synthetic_population,0,2022/08/02 10:58:08.184780
MainProcess,8756,171_446_272,171_446_272,164_405_248,pipeline.run after run_models,0,2022/08/02 10:58:08.211887
MainProcess,2760,149_671_936,149_671_936,143_376_384,pipeline.run before preload_injectables,0,2022/08/02 11:00:42.016215
MainProcess,2760,150_204_416,150_204_416,143_376_384,pipeline.run after preload_injectables,0,2022/08/02 11:00:42.052218
MainProcess,2760,150_224_896,150_224_896,143_396_864,pipeline.run_model write_synthetic_population start,0,2022/08/02 11:00:42.071224
MainProcess,2760,151_265_280,151_265_280,145_334_272,pipeline.run_model write_synthetic_population finished,0,2022/08/02 11:00:43.443263
MainProcess,2760,153_288_704,153_288_704,146_460_672,pipeline.run after write_synthetic_population,0,2022/08/02 11:00:43.497249
MainProcess,2760,153_288_704,153_288_704,146_460_672,pipeline.run after run_models,0,2022/08/02 11:00:43.512216
MainProcess,10264,149_745_664,149_745_664,143_450_112,pipeline.run before preload_injectables,0,2022/08/02 11:03:49.713322
MainProcess,10264,150_274_048,150_274_048,143_450_112,pipeline.run after preload_injectables,0,2022/08/02 11:03:49.741325
MainProcess,10264,150_298_624,150_298_624,143_474_688,pipeline.run_model write_synthetic_population start,0,2022/08/02 11:03:49.759322
MainProcess,10264,151_232_512,151_232_512,145_063_936,pipeline.run_model write_synthetic_population finished,0,2022/08/02 11:03:51.240804
MainProcess,10264,153_018_368,153_018_368,146_194_432,pipeline.run after write_synthetic_population,0,2022/08/02 11:03:51.295804
MainProcess,10264,153_018_368,153_018_368,146_194_432,pipeline.run after run_models,0,2022/08/02 11:03:51.316794
