SERIALNO,AGE,WRKLYR,INCTOT
2006000293094,38,1,4813.350696
2006000293094,33,1,6112.19136
2006000294226,23,1,916.828704
2006000294226,21,2,0
2006000294226,4,0,-15279.71438
2006000294293,62,1,22156.69368
2006000296200,28,1,9168.28704
2006000296200,7,0,-15279.71438
2006000296200,20,1,21851.08411
2006000296200,25,1,19482.60996
2006000297109,49,1,31477.7855
2006000297109,19,1,8404.26312
2006000297109,18,1,450.7741128
2006000299319,50,1,50540.18231
2006000299319,47,1,18642.18365
2006000303879,27,1,10696.33488
2006000303879,31,1,3820.1196
2006000306649,50,1,22156.69368
2006000306649,47,1,16044.50232
2006000306967,89,2,0
2006000307893,64,1,64942.0332
2006000307893,58,2,0
2006000315333,31,1,305.609568
2006000315333,28,2,0
2006000315333,0,0,NA
2006000315756,81,2,5004.356676
2006000315756,13,0,NA
2006000315756,11,0,NA
2006000315756,47,2,15433.28318
2006000315756,48,1,61351.12078
2006000317537,26,1,9168.28704
2006000320236,34,1,29032.90896
2006000320749,78,2,7640.2392
2006000321611,38,1,64942.0332
2006000321611,34,1,10696.33488
2006000321611,7,0,-15279.71438
2006000321611,5,0,-15279.71438
2006000321901,31,1,45841.4352
2006000321901,31,1,35145.10032
2006000321901,30,1,36673.14816
2006000323984,28,1,30560.9568
2006000323984,5,0,-15279.71438
2006000323984,27,1,20246.63388
2006000323984,29,1,15280.4784
2006000324348,56,1,29032.90896
2006000325281,29,1,11842.37076
2006000327346,55,1,76134.98363
2006000327346,50,1,19100.598
2006000329645,34,1,53481.6744
2006000330958,52,1,44313.38736
2006000330958,61,2,3590.912424
2006000332998,82,2,12912.00425
2006000335936,54,1,27504.86112
2006000335936,56,1,6112.19136
2006000335936,44,2,0
2006000335936,33,1,626.4996144
2006000338575,31,1,15891.69754
2006000338575,10,0,NA
2006000338575,1,0,NA
2006000338575,0,0,NA
2006000345302,62,2,17572.55016
2006000345302,55,1,22920.7176
2006000346439,43,1,19100.598
