table_name,column_name,dtype,checkpoint
REGION_controls,per_age_55_64,int64,setup_data_structures
REGION_controls,per_age_65_plus,int64,setup_data_structures
REGION_controls,avg_percap_inc,int64,setup_data_structures
PUMA_controls,PUMA,int64,setup_data_structures
PUMA_controls,num_hh,int64,setup_data_structures
PUMA_controls,hh_size_1,int64,setup_data_structures
PUMA_controls,hh_size_2,int64,setup_data_structures
PUMA_controls,hh_size_3,int64,setup_data_structures
PUMA_controls,hh_size_4_plus,int64,setup_data_structures
PUMA_controls,hh_inc_0_21,int64,setup_data_structures
PUMA_controls,hh_inc_21_42,int64,setup_data_structures
PUMA_controls,hh_inc_42_85,int64,setup_data_structures
PUMA_controls,hh_inc_85_plus,int64,setup_data_structures
PUMA_controls,hh_wrks_0,int64,setup_data_structures
PUMA_controls,hh_wrks_1,int64,setup_data_structures
PUMA_controls,hh_wrks_2,int64,setup_data_structures
PUMA_controls,hh_wrks_3_plus,int64,setup_data_structures
PUMA_controls,hh_by_type_sf,int64,setup_data_structures
PUMA_controls,hh_by_type_mf,int64,setup_data_structures
PUMA_controls,hh_by_type_mh,int64,setup_data_structures
PUMA_controls,hh_by_type_dup,int64,setup_data_structures
PUMA_controls,num_per,int64,setup_data_structures
PUMA_controls,per_race_white,int64,setup_data_structures
PUMA_controls,per_race_black,int64,setup_data_structures
PUMA_controls,per_race_native,int64,setup_data_structures
PUMA_controls,per_race_asian,int64,setup_data_structures
PUMA_controls,per_race_pacific,int64,setup_data_structures
PUMA_controls,per_race_other,int64,setup_data_structures
PUMA_controls,per_race_multi,int64,setup_data_structures
PUMA_controls,per_age_0_14,int64,setup_data_structures
PUMA_controls,per_age_15_19,int64,setup_data_structures
PUMA_controls,per_age_20_29,int64,setup_data_structures
PUMA_controls,per_age_30_54,int64,setup_data_structures
PUMA_controls,per_age_55_64,int64,setup_data_structures
PUMA_controls,per_age_65_plus,int64,setup_data_structures
PUMA_controls,avg_percap_inc,int64,setup_data_structures
TRACT_controls,TRACT,int64,setup_data_structures
TRACT_controls,num_hh,int64,setup_data_structures
TRACT_controls,hh_size_1,int64,setup_data_structures
TRACT_controls,hh_size_2,int64,setup_data_structures
TRACT_controls,hh_size_3,int64,setup_data_structures
TRACT_controls,hh_size_4_plus,int64,setup_data_structures
TRACT_controls,hh_inc_0_21,int64,setup_data_structures
TRACT_controls,hh_inc_21_42,int64,setup_data_structures
TRACT_controls,hh_inc_42_85,int64,setup_data_structures
TRACT_controls,hh_inc_85_plus,int64,setup_data_structures
TRACT_controls,hh_wrks_0,int64,setup_data_structures
TRACT_controls,hh_wrks_1,int64,setup_data_structures
TRACT_controls,hh_wrks_2,int64,setup_data_structures
TRACT_controls,hh_wrks_3_plus,int64,setup_data_structures
TRACT_controls,hh_by_type_sf,int64,setup_data_structures
TRACT_controls,hh_by_type_mf,int64,setup_data_structures
TRACT_controls,hh_by_type_mh,int64,setup_data_structures
TRACT_controls,hh_by_type_dup,int64,setup_data_structures
TRACT_controls,num_per,int64,setup_data_structures
TRACT_controls,per_race_white,int64,setup_data_structures
TRACT_controls,per_race_black,int64,setup_data_structures
TRACT_controls,per_race_native,int64,setup_data_structures
TRACT_controls,per_race_asian,int64,setup_data_structures
TRACT_controls,per_race_pacific,int64,setup_data_structures
TRACT_controls,per_race_other,int64,setup_data_structures
TRACT_controls,per_race_multi,int64,setup_data_structures
TRACT_controls,per_age_0_14,int64,setup_data_structures
TRACT_controls,per_age_15_19,int64,setup_data_structures
TRACT_controls,per_age_20_29,int64,setup_data_structures
TRACT_controls,per_age_30_54,int64,setup_data_structures
TRACT_controls,per_age_55_64,int64,setup_data_structures
TRACT_controls,per_age_65_plus,int64,setup_data_structures
TRACT_controls,avg_percap_inc,int64,setup_data_structures
BG_controls,BG,int64,setup_data_structures
BG_controls,num_hh,int64,setup_data_structures
BG_controls,hh_size_1,int64,setup_data_structures
BG_controls,hh_size_2,int64,setup_data_structures
BG_controls,hh_size_3,int64,setup_data_structures
BG_controls,hh_size_4_plus,int64,setup_data_structures
BG_controls,hh_inc_0_21,int64,setup_data_structures
BG_controls,hh_inc_21_42,int64,setup_data_structures
BG_controls,hh_inc_42_85,int64,setup_data_structures
BG_controls,hh_inc_85_plus,int64,setup_data_structures
BG_controls,num_per,int64,setup_data_structures
BG_controls,per_race_white,int64,setup_data_structures
BG_controls,per_race_black,int64,setup_data_structures
BG_controls,per_race_native,int64,setup_data_structures
BG_controls,per_race_asian,int64,setup_data_structures
BG_controls,per_race_pacific,int64,setup_data_structures
BG_controls,per_race_other,int64,setup_data_structures
BG_controls,per_race_multi,int64,setup_data_structures
BG_controls,per_age_0_14,int64,setup_data_structures
BG_controls,per_age_15_19,int64,setup_data_structures
BG_controls,per_age_20_29,int64,setup_data_structures
BG_controls,per_age_30_54,int64,setup_data_structures
BG_controls,per_age_55_64,int64,setup_data_structures
BG_controls,per_age_65_plus,int64,setup_data_structures
BG_controls,avg_percap_inc,int64,setup_data_structures
households,hh_id,int64,input_pre_processor
households,SERIALNO,object,input_pre_processor
households,PUMA,int64,input_pre_processor
households,REGION,int64,input_pre_processor
households,NP,int64,input_pre_processor
households,NW,int64,input_pre_processor
households,HHINCADJ,float64,input_pre_processor
households,WGTP,int64,input_pre_processor
households,HTYPE,object,input_pre_processor
persons,SERIALNO,object,input_pre_processor
persons,hh_id,int64,input_pre_processor
persons,PUMA,int64,input_pre_processor
persons,REGION,int64,input_pre_processor
persons,per_num,int64,input_pre_processor
persons,PWGTP,int64,input_pre_processor
persons,RAC1P,int64,input_pre_processor
persons,AGEP,int64,input_pre_processor
persons,PINCADJ,float64,input_pre_processor
household_groups,group_id,int32,setup_data_structures
household_groups,sample_weight,int64,setup_data_structures
household_groups,hh_id,int64,setup_data_structures
incidence_table,hh_id,int64,setup_data_structures
incidence_table,num_hh,int64,setup_data_structures
incidence_table,hh_size_1,int64,setup_data_structures
incidence_table,hh_size_2,int64,setup_data_structures
incidence_table,hh_size_3,int64,setup_data_structures
incidence_table,hh_size_4_plus,int64,setup_data_structures
incidence_table,hh_inc_0_21,int64,setup_data_structures
incidence_table,hh_inc_21_42,int64,setup_data_structures
incidence_table,hh_inc_42_85,int64,setup_data_structures
incidence_table,hh_inc_85_plus,int64,setup_data_structures
incidence_table,hh_wrks_0,int64,setup_data_structures
incidence_table,hh_wrks_1,int64,setup_data_structures
incidence_table,hh_wrks_2,int64,setup_data_structures
incidence_table,hh_wrks_3_plus,int64,setup_data_structures
incidence_table,hh_by_type_sf,int64,setup_data_structures
incidence_table,hh_by_type_mf,int64,setup_data_structures
incidence_table,hh_by_type_mh,int64,setup_data_structures
incidence_table,hh_by_type_dup,int64,setup_data_structures
incidence_table,num_per,int64,setup_data_structures
incidence_table,per_race_white,int64,setup_data_structures
incidence_table,per_race_black,int64,setup_data_structures
incidence_table,per_race_native,int64,setup_data_structures
incidence_table,per_race_asian,int64,setup_data_structures
incidence_table,per_race_pacific,int64,setup_data_structures
incidence_table,per_race_other,int64,setup_data_structures
incidence_table,per_race_multi,int64,setup_data_structures
incidence_table,per_age_0_14,int64,setup_data_structures
incidence_table,per_age_15_19,int64,setup_data_structures
incidence_table,per_age_20_29,int64,setup_data_structures
incidence_table,per_age_30_54,int64,setup_data_structures
incidence_table,per_age_55_64,int64,setup_data_structures
incidence_table,per_age_65_plus,int64,setup_data_structures
incidence_table,avg_percap_inc,float64,setup_data_structures
incidence_table,PUMA,int64,setup_data_structures
incidence_table,REGION,int64,setup_data_structures
incidence_table,sample_weight,int64,setup_data_structures
incidence_table,group_size,int64,setup_data_structures
incidence_table,group_id,int64,setup_data_structures
PUMA_weights,PUMA,int64,initial_seed_balancing
PUMA_weights,preliminary_balanced_weight,float64,initial_seed_balancing
PUMA_weights,sample_weight,int64,initial_seed_balancing
PUMA_weights,hh_id,int64,initial_seed_balancing
PUMA_weights,balanced_weight,float64,final_seed_balancing
PUMA_weights,integer_weight,int64,integerize_final_seed_weights
TRACT_weights,hh_id,int64,sub_balancing.geography=TRACT
TRACT_weights,TRACT,int64,sub_balancing.geography=TRACT
TRACT_weights,balanced_weight,float64,sub_balancing.geography=TRACT
TRACT_weights,integer_weight,int32,sub_balancing.geography=TRACT
TRACT_weights,PUMA,int64,sub_balancing.geography=TRACT
TRACT_weights,REGION,int64,sub_balancing.geography=TRACT
TRACT_weights_sparse,hh_id,int64,sub_balancing.geography=TRACT
TRACT_weights_sparse,TRACT,int64,sub_balancing.geography=TRACT
TRACT_weights_sparse,balanced_weight,float64,sub_balancing.geography=TRACT
TRACT_weights_sparse,integer_weight,int32,sub_balancing.geography=TRACT
TRACT_weights_sparse,PUMA,int64,sub_balancing.geography=TRACT
TRACT_weights_sparse,REGION,int64,sub_balancing.geography=TRACT
trace_TRACT_weights,hh_id,int64,sub_balancing.geography=TRACT
trace_TRACT_weights,TRACT,int64,sub_balancing.geography=TRACT
trace_TRACT_weights,balanced_weight,float64,sub_balancing.geography=TRACT
trace_TRACT_weights,integer_weight,int32,sub_balancing.geography=TRACT
trace_TRACT_weights,PUMA,int64,sub_balancing.geography=TRACT
trace_TRACT_weights,REGION,int64,sub_balancing.geography=TRACT
BG_weights,hh_id,int64,sub_balancing.geography=BG
BG_weights,BG,int64,sub_balancing.geography=BG
BG_weights,balanced_weight,float64,sub_balancing.geography=BG
BG_weights,integer_weight,int32,sub_balancing.geography=BG
BG_weights,TRACT,int64,sub_balancing.geography=BG
BG_weights,REGION,int64,sub_balancing.geography=BG
BG_weights,PUMA,int64,sub_balancing.geography=BG
BG_weights_sparse,hh_id,int64,sub_balancing.geography=BG
BG_weights_sparse,BG,int64,sub_balancing.geography=BG
BG_weights_sparse,balanced_weight,float64,sub_balancing.geography=BG
BG_weights_sparse,integer_weight,int32,sub_balancing.geography=BG
BG_weights_sparse,TRACT,int64,sub_balancing.geography=BG
BG_weights_sparse,REGION,int64,sub_balancing.geography=BG
BG_weights_sparse,PUMA,int64,sub_balancing.geography=BG
trace_BG_weights,hh_id,int64,sub_balancing.geography=BG
trace_BG_weights,BG,int64,sub_balancing.geography=BG
trace_BG_weights,balanced_weight,float64,sub_balancing.geography=BG
trace_BG_weights,integer_weight,int32,sub_balancing.geography=BG
trace_BG_weights,TRACT,int64,sub_balancing.geography=BG
trace_BG_weights,REGION,int64,sub_balancing.geography=BG
trace_BG_weights,PUMA,int64,sub_balancing.geography=BG
expanded_household_ids,PUMA,int64,expand_households
expanded_household_ids,TRACT,int64,expand_households
expanded_household_ids,BG,int64,expand_households
expanded_household_ids,hh_id,int32,expand_households
