geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_21_control,hh_inc_21_42_control,hh_inc_42_85_control,hh_inc_85_plus_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,hh_by_type_sf_control,hh_by_type_mf_control,hh_by_type_mh_control,hh_by_type_dup_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,avg_percap_inc_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_21_result,hh_inc_21_42_result,hh_inc_42_85_result,hh_inc_85_plus_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,hh_by_type_sf_result,hh_by_type_mf_result,hh_by_type_mh_result,hh_by_type_dup_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,avg_percap_inc_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_21_diff,hh_inc_21_42_diff,hh_inc_42_85_diff,hh_inc_85_plus_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff,hh_by_type_sf_diff,hh_by_type_mf_diff,hh_by_type_mh_diff,hh_by_type_dup_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff,avg_percap_inc_diff
TRACT,41029000502,2016,534,686,298,498,357,841,361,457,1538,1906,818,219,1215,1206,0,103,5302,4710,74,0,246,47,175,50,1125,179,909,1920,469,700,63986,2016.0,502.0,668.0,309.0,537.0,845.0,949.0,175.0,47.0,773.0,844.0,331.0,68.0,0.0,0.0,0.0,0.0,4913.0,4294.0,74.0,0.0,268.0,48.0,178.0,51.0,1753.0,143.0,754.0,1464.0,340.0,459.0,-1827467.4592120014,0.0,-32.0,-18.0,11.0,39.0,488.0,108.0,-186.0,-410.0,-765.0,-1062.0,-487.0,-151.0,-1215.0,-1206.0,0.0,-103.0,-389.0,-416.0,0.0,0.0,22.0,1.0,3.0,1.0,628.0,-36.0,-155.0,-456.0,-129.0,-241.0,-1891453.4592120014
TRACT,41029000603,1311,201,611,145,354,82,73,189,967,734,966,671,26,1430,0,0,0,3664,3233,22,0,145,0,19,245,1054,92,200,1103,407,808,107559,1311.0,194.0,596.0,149.0,372.0,572.0,275.0,311.0,153.0,472.0,527.0,298.0,14.0,0.0,0.0,0.0,0.0,3711.0,3221.0,26.0,0.0,174.0,0.0,22.0,268.0,1618.0,76.0,194.0,908.0,331.0,584.0,127571.58694399986,0.0,-7.0,-15.0,4.0,18.0,490.0,202.0,122.0,-814.0,-262.0,-439.0,-373.0,-12.0,-1430.0,0.0,0.0,0.0,47.0,-12.0,4.0,0.0,29.0,0.0,3.0,23.0,564.0,-16.0,-6.0,-195.0,-76.0,-224.0,20012.586943999864
TRACT,41029000604,1520,349,697,275,199,148,474,376,522,1168,682,684,203,1226,379,12,15,3590,3459,0,29,81,0,0,21,568,197,376,1104,345,1000,68334,1520.0,340.0,688.0,283.0,209.0,624.0,700.0,166.0,30.0,744.0,374.0,334.0,68.0,0.0,0.0,0.0,0.0,3619.0,3461.0,0.0,35.0,100.0,0.0,0.0,23.0,1277.0,166.0,339.0,894.0,262.0,681.0,-1087812.2274800017,0.0,-9.0,-9.0,8.0,10.0,476.0,226.0,-210.0,-492.0,-424.0,-308.0,-350.0,-135.0,-1226.0,-379.0,-12.0,-15.0,29.0,2.0,0.0,6.0,19.0,0.0,0.0,2.0,709.0,-31.0,-37.0,-210.0,-83.0,-319.0,-1156146.2274800017
TRACT,41029000605,1121,277,619,70,155,206,318,261,336,1390,1130,390,92,992,624,0,85,2547,2415,0,12,49,0,0,71,376,258,224,599,391,699,65510,1121.0,266.0,613.0,74.0,168.0,634.0,370.0,98.0,19.0,574.0,404.0,124.0,19.0,0.0,0.0,0.0,0.0,2392.0,2250.0,0.0,15.0,56.0,0.0,0.0,71.0,731.0,214.0,205.0,493.0,289.0,460.0,-667046.387709002,0.0,-11.0,-6.0,4.0,13.0,428.0,52.0,-163.0,-317.0,-816.0,-726.0,-266.0,-73.0,-992.0,-624.0,0.0,-85.0,-155.0,-165.0,0.0,3.0,7.0,0.0,0.0,0.0,355.0,-44.0,-19.0,-106.0,-102.0,-239.0,-732556.387709002
TRACT,41029000606,955,267,534,129,25,37,179,152,587,1296,364,192,0,641,365,0,0,1828,1668,0,0,67,0,14,79,211,0,0,251,124,1242,65896,955.0,263.0,525.0,139.0,28.0,462.0,420.0,52.0,21.0,767.0,167.0,21.0,0.0,0.0,0.0,0.0,0.0,1890.0,1687.0,0.0,0.0,94.0,0.0,16.0,93.0,627.0,0.0,0.0,339.0,135.0,789.0,188086.7244229992,0.0,-4.0,-9.0,10.0,3.0,425.0,241.0,-100.0,-566.0,-529.0,-197.0,-171.0,0.0,-641.0,-365.0,0.0,0.0,62.0,19.0,0.0,0.0,27.0,0.0,2.0,14.0,416.0,0.0,0.0,88.0,11.0,-453.0,122190.72442299919
TRACT,41029000701,1873,398,631,282,562,120,450,635,668,854,1392,976,377,1616,0,330,39,5114,4431,22,52,82,0,270,257,757,424,796,1546,860,731,48899,1873.0,380.0,615.0,289.0,589.0,678.0,829.0,331.0,35.0,535.0,744.0,462.0,132.0,0.0,0.0,0.0,0.0,5097.0,4336.0,24.0,60.0,100.0,0.0,304.0,273.0,1756.0,344.0,694.0,1209.0,623.0,471.0,-1046617.4125300003,0.0,-18.0,-16.0,7.0,27.0,558.0,379.0,-304.0,-633.0,-319.0,-648.0,-514.0,-245.0,-1616.0,0.0,-330.0,-39.0,-17.0,-95.0,2.0,8.0,18.0,0.0,34.0,16.0,999.0,-80.0,-102.0,-337.0,-237.0,-260.0,-1095516.4125300003
TRACT,41029000702,1759,247,604,253,655,82,295,505,877,832,1038,915,379,1812,19,99,27,5084,4692,0,75,30,0,7,280,1020,606,535,1420,680,823,90884,1759.0,242.0,594.0,257.0,666.0,515.0,712.0,406.0,126.0,556.0,597.0,477.0,129.0,0.0,0.0,0.0,0.0,5367.0,4904.0,0.0,90.0,38.0,0.0,8.0,327.0,2193.0,512.0,468.0,1116.0,517.0,561.0,94363.4345889967,0.0,-5.0,-10.0,4.0,11.0,433.0,417.0,-99.0,-751.0,-276.0,-441.0,-438.0,-250.0,-1812.0,-19.0,-99.0,-27.0,283.0,212.0,0.0,15.0,8.0,0.0,1.0,47.0,1173.0,-94.0,-67.0,-304.0,-163.0,-262.0,3479.4345889966935
TRACT,41029000800,1085,235,535,197,118,142,282,223,438,1538,2250,801,225,1512,882,439,73,2463,2049,25,62,69,0,28,230,211,102,561,859,309,421,64354,1085.0,229.0,528.0,203.0,125.0,628.0,373.0,76.0,8.0,404.0,493.0,155.0,33.0,0.0,0.0,0.0,0.0,2420.0,1986.0,26.0,65.0,84.0,0.0,32.0,227.0,645.0,84.0,482.0,701.0,232.0,276.0,-878481.8495500004,0.0,-6.0,-7.0,6.0,7.0,486.0,91.0,-147.0,-430.0,-1134.0,-1757.0,-646.0,-192.0,-1512.0,-882.0,-439.0,-73.0,-43.0,-63.0,1.0,3.0,15.0,0.0,4.0,-3.0,434.0,-18.0,-79.0,-158.0,-77.0,-145.0,-942835.8495500004
TRACT,41029000901,1237,251,490,235,261,73,273,186,705,784,596,801,105,1214,0,35,0,3368,3205,0,0,0,0,0,163,877,109,248,1210,371,553,113005,1237.0,241.0,481.0,240.0,275.0,350.0,622.0,181.0,84.0,483.0,321.0,384.0,49.0,0.0,0.0,0.0,0.0,3376.0,3202.0,0.0,0.0,0.0,0.0,0.0,174.0,1463.0,87.0,222.0,946.0,280.0,378.0,-444210.91285100207,0.0,-10.0,-9.0,5.0,14.0,277.0,349.0,-5.0,-621.0,-301.0,-275.0,-417.0,-56.0,-1214.0,0.0,-35.0,0.0,8.0,-3.0,0.0,0.0,0.0,0.0,0.0,11.0,586.0,-22.0,-26.0,-264.0,-91.0,-175.0,-557215.9128510021
TRACT,41029000902,1242,336,382,134,390,69,164,254,755,1152,1308,1510,394,1887,418,90,50,3405,2955,0,0,95,130,14,211,580,424,166,1181,416,638,53005,1242.0,310.0,367.0,140.0,425.0,570.0,423.0,184.0,65.0,401.0,391.0,385.0,65.0,0.0,0.0,0.0,0.0,3164.0,2701.0,0.0,0.0,106.0,132.0,16.0,209.0,1202.0,330.0,139.0,839.0,278.0,376.0,-1148006.210056,0.0,-26.0,-15.0,6.0,35.0,501.0,259.0,-70.0,-690.0,-751.0,-917.0,-1125.0,-329.0,-1887.0,-418.0,-90.0,-50.0,-241.0,-254.0,0.0,0.0,11.0,2.0,2.0,-2.0,622.0,-94.0,-27.0,-342.0,-138.0,-262.0,-1201011.210056
TRACT,41029001001,1853,548,551,472,282,209,560,389,695,1736,1284,1480,328,2140,204,344,83,4482,3750,13,183,40,105,365,26,811,232,479,1583,446,931,80324,1853.0,524.0,540.0,489.0,300.0,804.0,811.0,182.0,56.0,778.0,495.0,507.0,73.0,0.0,0.0,0.0,0.0,4357.0,3554.0,13.0,215.0,48.0,108.0,392.0,27.0,1609.0,186.0,414.0,1223.0,323.0,602.0,-1850295.8723130012,0.0,-24.0,-11.0,17.0,18.0,595.0,251.0,-207.0,-639.0,-958.0,-789.0,-973.0,-255.0,-2140.0,-204.0,-344.0,-83.0,-125.0,-196.0,0.0,32.0,8.0,3.0,27.0,1.0,798.0,-46.0,-65.0,-360.0,-123.0,-329.0,-1930619.8723130012
TRACT,41029001002,1019,270,397,155,197,200,248,251,320,776,1048,1029,137,1287,320,45,66,2566,2330,1,11,9,0,159,56,527,217,214,844,415,349,79223,1019.0,256.0,388.0,161.0,214.0,539.0,315.0,132.0,33.0,307.0,358.0,321.0,33.0,0.0,0.0,0.0,0.0,2377.0,2132.0,2.0,15.0,10.0,0.0,164.0,54.0,855.0,176.0,179.0,646.0,296.0,225.0,-525109.521354002,0.0,-14.0,-9.0,6.0,17.0,339.0,67.0,-119.0,-287.0,-469.0,-690.0,-708.0,-104.0,-1287.0,-320.0,-45.0,-66.0,-189.0,-198.0,1.0,4.0,1.0,0.0,5.0,-2.0,328.0,-41.0,-35.0,-198.0,-119.0,-124.0,-604332.521354002
TRACT,41029001100,1791,340,748,137,566,151,454,390,796,1350,1232,1137,440,1779,0,498,0,4599,4279,0,23,0,0,0,297,625,379,434,1024,905,1232,87582,1791.0,330.0,735.0,140.0,586.0,788.0,768.0,189.0,46.0,693.0,542.0,442.0,114.0,0.0,0.0,0.0,0.0,4636.0,4288.0,0.0,25.0,0.0,0.0,0.0,323.0,1494.0,329.0,410.0,856.0,697.0,850.0,-999560.3684850037,0.0,-10.0,-13.0,3.0,20.0,637.0,314.0,-201.0,-750.0,-657.0,-690.0,-695.0,-326.0,-1779.0,0.0,-498.0,0.0,37.0,9.0,0.0,2.0,0.0,0.0,0.0,26.0,869.0,-50.0,-24.0,-168.0,-208.0,-382.0,-1087142.3684850037
TRACT,41029001200,438,99,190,86,63,39,99,172,128,992,1038,687,116,1236,297,0,85,1217,1062,0,0,47,4,10,94,221,17,254,289,148,288,53496,438.0,89.0,184.0,92.0,73.0,181.0,163.0,85.0,9.0,178.0,155.0,94.0,11.0,0.0,0.0,0.0,0.0,1025.0,879.0,0.0,0.0,50.0,4.0,10.0,82.0,402.0,9.0,179.0,193.0,89.0,153.0,-436658.71859700023,0.0,-10.0,-6.0,6.0,10.0,142.0,64.0,-87.0,-119.0,-814.0,-883.0,-593.0,-105.0,-1236.0,-297.0,0.0,-85.0,-192.0,-183.0,0.0,0.0,3.0,0.0,0.0,-12.0,181.0,-8.0,-75.0,-96.0,-59.0,-135.0,-490154.71859700023
TRACT,41029001301,1739,322,649,292,476,168,399,543,629,1104,904,889,200,1358,78,314,92,5125,4775,12,0,46,0,70,222,776,275,474,1742,704,1154,83427,1739.0,313.0,640.0,291.0,495.0,627.0,728.0,314.0,70.0,720.0,507.0,432.0,80.0,0.0,0.0,0.0,0.0,5264.0,4866.0,16.0,0.0,86.0,0.0,89.0,207.0,1830.0,212.0,401.0,1437.0,597.0,778.0,-280713.10486600175,0.0,-9.0,-9.0,-1.0,19.0,459.0,329.0,-229.0,-559.0,-384.0,-397.0,-457.0,-120.0,-1358.0,-78.0,-314.0,-92.0,139.0,91.0,4.0,0.0,40.0,0.0,19.0,-15.0,1054.0,-63.0,-73.0,-305.0,-107.0,-376.0,-364140.10486600175
TRACT,41029001303,1324,167,382,159,616,199,346,522,257,834,1250,1425,168,1070,26,885,0,4178,3625,0,227,26,0,0,300,1231,426,557,1292,383,289,32145,1324.0,166.0,379.0,163.0,616.0,362.0,535.0,364.0,63.0,319.0,482.0,460.0,63.0,0.0,0.0,0.0,0.0,4377.0,3787.0,0.0,235.0,33.0,0.0,0.0,322.0,1754.0,340.0,531.0,1171.0,353.0,228.0,-1469203.9460319998,0.0,-1.0,-3.0,4.0,0.0,163.0,189.0,-158.0,-194.0,-515.0,-768.0,-965.0,-105.0,-1070.0,-26.0,-885.0,0.0,199.0,162.0,0.0,8.0,7.0,0.0,0.0,22.0,523.0,-86.0,-26.0,-121.0,-30.0,-61.0,-1501348.9460319998
TRACT,41029001304,1465,325,535,269,336,278,312,255,620,1616,1118,775,212,1599,19,422,10,3951,3724,40,0,38,0,76,73,684,255,226,1133,675,978,108195,1465.0,313.0,522.0,270.0,360.0,757.0,487.0,151.0,70.0,715.0,425.0,262.0,63.0,0.0,0.0,0.0,0.0,3967.0,3697.0,48.0,0.0,67.0,0.0,88.0,67.0,1274.0,185.0,219.0,972.0,597.0,708.0,-500615.0656329999,0.0,-12.0,-13.0,1.0,24.0,479.0,175.0,-104.0,-550.0,-901.0,-693.0,-513.0,-149.0,-1599.0,-19.0,-422.0,-10.0,16.0,-27.0,8.0,0.0,29.0,0.0,12.0,-6.0,590.0,-70.0,-7.0,-161.0,-78.0,-270.0,-608810.0656329999
TRACT,41029001401,1159,127,400,87,545,108,296,270,485,1114,778,1945,236,1830,285,149,0,3784,3731,0,0,0,0,0,53,1205,75,294,1241,295,674,46907,1159.0,126.0,397.0,87.0,549.0,269.0,516.0,253.0,121.0,340.0,261.0,490.0,68.0,0.0,0.0,0.0,0.0,3948.0,3897.0,0.0,0.0,0.0,0.0,0.0,51.0,1731.0,73.0,283.0,1079.0,265.0,517.0,-2224044.062934002,0.0,-1.0,-3.0,0.0,4.0,161.0,220.0,-17.0,-364.0,-774.0,-517.0,-1455.0,-168.0,-1830.0,-285.0,-149.0,0.0,164.0,166.0,0.0,0.0,0.0,0.0,0.0,-2.0,526.0,-2.0,-11.0,-162.0,-30.0,-157.0,-2270951.062934002
TRACT,41029001403,860,262,443,0,155,53,0,301,506,1648,852,733,115,1565,53,123,76,1806,1753,53,0,0,0,0,0,225,103,62,314,308,794,51441,860.0,254.0,435.0,0.0,171.0,614.0,0.0,229.0,17.0,571.0,174.0,100.0,15.0,0.0,0.0,0.0,0.0,1854.0,1854.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,66.0,67.0,421.0,255.0,487.0,17088.042861999245,0.0,-8.0,-8.0,0.0,16.0,561.0,0.0,-72.0,-489.0,-1077.0,-678.0,-633.0,-100.0,-1565.0,-53.0,-123.0,-76.0,48.0,101.0,-53.0,0.0,0.0,0.0,0.0,0.0,333.0,-37.0,5.0,107.0,-53.0,-307.0,-34352.957138000755
TRACT,41029001500,2210,510,1053,344,303,264,287,441,1218,1644,1118,904,290,1812,274,230,136,5170,4950,56,0,47,69,18,30,795,133,482,1514,737,1509,241709,2210.0,502.0,1039.0,348.0,321.0,1202.0,606.0,298.0,104.0,1079.0,597.0,428.0,106.0,0.0,0.0,0.0,0.0,5455.0,5196.0,70.0,0.0,83.0,54.0,21.0,31.0,1827.0,105.0,437.0,1302.0,660.0,1072.0,260772.28003900032,0.0,-8.0,-14.0,4.0,18.0,938.0,319.0,-143.0,-1114.0,-565.0,-521.0,-476.0,-184.0,-1812.0,-274.0,-230.0,-136.0,285.0,246.0,14.0,0.0,36.0,-15.0,3.0,1.0,1032.0,-28.0,-45.0,-212.0,-77.0,-437.0,19063.280039000325
TRACT,41029001601,1542,550,546,285,161,252,531,460,299,1944,1396,948,182,252,835,1447,33,3167,2643,55,19,136,0,10,304,421,70,658,776,364,878,46682,1542.0,538.0,540.0,294.0,170.0,802.0,583.0,148.0,9.0,760.0,461.0,281.0,40.0,0.0,0.0,0.0,0.0,3188.0,2616.0,59.0,20.0,168.0,0.0,12.0,313.0,1002.0,59.0,586.0,658.0,283.0,600.0,-1080812.3829500019,0.0,-12.0,-6.0,9.0,9.0,550.0,52.0,-312.0,-290.0,-1184.0,-935.0,-667.0,-142.0,-252.0,-835.0,-1447.0,-33.0,21.0,-27.0,4.0,1.0,32.0,0.0,2.0,9.0,581.0,-11.0,-72.0,-118.0,-81.0,-278.0,-1127494.3829500019
TRACT,41029001602,2853,992,992,299,570,531,865,821,636,2134,1700,983,336,1691,699,532,86,6391,5857,28,0,131,0,157,218,1071,168,524,1942,919,1767,144687,2853.0,975.0,976.0,302.0,600.0,1386.0,1063.0,339.0,65.0,1383.0,903.0,468.0,99.0,0.0,0.0,0.0,0.0,6833.0,6154.0,36.0,0.0,211.0,0.0,220.0,212.0,2355.0,120.0,479.0,1719.0,835.0,1291.0,-622832.6064070044,0.0,-17.0,-16.0,3.0,30.0,855.0,198.0,-482.0,-571.0,-751.0,-797.0,-515.0,-237.0,-1691.0,-699.0,-532.0,-86.0,442.0,297.0,8.0,0.0,80.0,0.0,63.0,-6.0,1284.0,-48.0,-45.0,-223.0,-84.0,-476.0,-767519.6064070044
