SERIALNO,hhnum,PUMA,REGION,NP,NW,HHINCADJ,WGTP,HTYPE
2015000002692,43,01105,1,2,1,114097.632,24,SF
2015000002739,44,00902,1,2,0,84492.754,12,SF
2015000002759,45,00705,1,2,2,177197.08,5,SF
2015000002780,46,01323,1,4,2,70770.785,47,SF
2015000002873,47,00902,1,5,3,111612.551,41,SF
2015000002975,48,00901,1,1,0,55860.299,16,MF
2015000003045,49,01305,1,3,1,24850.81,12,MF
2015000003051,50,00901,1,1,0,11344.935,35,SF
2015000003179,51,00600,1,2,2,102644.65,26,MH
2015000003339,52,00800,1,2,1,15342.674,23,MH
2015000003358,53,01302,1,4,1,42138.33,22,SF
2015000003364,54,00704,1,3,1,17935.802,15,MF
2015000003424,55,00703,1,2,2,323924.906,15,SF
2015000003429,56,00705,1,1,1,19124.319,13,MH
2015000003588,57,00703,1,5,2,496367.918,14,SF
2015000003677,58,01200,1,3,1,2701.175,17,MF
2015000003805,59,01319,1,1,0,27768.079,14,MF
2015000004165,60,01314,1,2,2,102644.65,28,MF
2015000004183,61,01318,1,2,0,170854.7211,12,SF
2015000004309,62,01324,1,2,0,382810.521,19,SF
2015000004342,63,00800,1,2,1,18367.99,21,MF
2015000004415,64,01105,1,4,1,54509.7115,22,SF
2015000004423,65,00703,1,2,0,74336.336,25,SF
2015000004454,66,00800,1,1,0,77793.84,32,SF
2015000004848,67,01103,1,3,1,46460.21,23,SF
2015000004968,68,01316,1,3,1,31333.63,21,MF
2015000005049,69,00300,1,2,2,-12533.452,13,SF
2015000005089,70,00800,1,2,0,12857.593,18,SF
2015000005094,71,01105,1,2,2,75114.2744,25,SF
2015000005270,72,01316,1,1,0,302.5316,13,MF
2015000005298,73,00500,1,1,1,14046.11,20,SF
2015000005522,74,00901,1,2,2,55103.97,14,SF
2015000005542,75,01320,1,1,1,108911.376,25,MF
2015000005569,76,01317,1,3,2,54239.594,18,SF
2015000005708,77,00500,1,2,2,70230.55,16,MH
2015000005826,78,00400,1,1,1,18261.02347,20,SF
2015000005845,79,01105,1,2,0,50241.855,10,SF
2015000005869,80,01323,1,4,2,79738.686,12,SF
2015000005916,81,00300,1,5,2,140461.1,2,SF
2015000005985,82,01105,1,1,0,39113.014,5,MH
2015000005990,83,01323,1,1,0,36303.792,12,SF
2015000006064,84,00200,1,1,0,19556.507,13,SF
2015000006200,85,01301,1,3,3,87734.164,43,DUP
2015000006222,86,01000,1,2,0,118203.418,25,SF
2015000006285,87,00800,1,2,0,74963.0086,14,SF
2015000006563,88,01316,1,1,0,17827.755,24,SF
2015000006579,89,01105,1,1,1,49701.62,9,SF
2015000006859,90,01318,1,4,2,25715.186,13,SF
2015000006871,91,01103,1,2,1,22797.917,18,SF
2015000007002,92,01303,1,2,1,247427.63,9,SF
2015000007043,93,01103,1,3,1,96161.83,24,MF
2015000007108,94,00300,1,1,0,7563.29,2,MF
2015000007419,95,01200,1,3,1,47972.868,21,MF
2015000007526,96,00704,1,4,3,102860.744,11,SF
2015000007628,97,01321,1,2,0,81035.25,13,SF
2015000007784,98,01320,1,1,1,59425.85,38,MF
2015000007878,99,01320,1,3,1,102623.0406,13,SF
2015000007901,100,01323,1,3,1,124254.05,17,SF
2015000007982,101,00901,1,2,0,51862.56,41,MF
2015000008019,102,01314,1,1,0,37816.45,25,MF
2015000008081,103,01305,1,2,2,140461.1,14,SF
2015000008096,104,00704,1,5,4,136895.549,11,SF
2015000008097,105,01104,1,3,2,87572.0935,17,SF
2015000008104,106,00800,1,2,1,43218.8,20,MH
2015000008286,107,01000,1,4,3,82547.908,57,SF
2015000008396,108,01303,1,1,1,25931.28,25,MF
2015000008628,109,01305,1,2,1,86221.506,15,SF
2015000008659,110,00703,1,3,1,15342.674,18,SF
2015000008701,111,01319,1,2,1,435429.41,10,SF
2015000008714,112,01301,1,4,2,143702.51,9,SF
2015000008726,113,00400,1,1,0,56940.769,23,MH
2015000008727,114,00901,1,6,0,68177.657,12,SF
2015000008739,115,01200,1,1,1,230140.11,6,SF
2015000008789,116,01200,1,2,1,74984.618,7,SF
2015000009053,117,00600,1,2,1,18043.849,2,SF
2015000009192,118,01316,1,1,0,2409.4481,15,SF
2015000009451,119,01302,1,6,0,72164.5913,24,SF
2015000009561,120,00705,1,2,0,80603.062,17,SF
2015000009600,121,00200,1,1,1,154507.21,8,DUP
2015000009619,122,00703,1,2,0,89679.01,17,SF
2015000009749,123,01200,1,5,2,133978.28,18,SF
2015000010020,124,00901,1,2,0,64071.871,13,SF
2015000010024,125,01314,1,3,2,127495.46,23,SF
2015000010051,126,00800,1,3,1,63747.73,43,SF
2015000010112,127,00703,1,1,0,75632.9,15,SF
2015000010119,128,00704,1,3,3,70371.0111,23,SF
2015000010307,129,01319,1,1,0,47756.774,8,SF
2015000010310,130,01324,1,3,2,121174.7105,19,MF
2015000010445,131,00100,1,1,0,0,8,SF
2015000010461,132,00600,1,4,1,167472.85,24,SF
2015000010508,133,00705,1,1,0,0,13,MH
2015000010822,134,00200,1,6,1,58129.286,10,SF
2015000011101,135,00704,1,2,2,98971.052,21,SF
2015000011179,136,00704,1,2,2,37816.45,12,SF
2015000011291,137,00100,1,3,1,83196.19,11,SF
2015000011348,138,01317,1,6,0,73893.3433,57,SF
2015000011412,139,01317,1,5,1,30361.207,23,SF
2015000011486,140,01320,1,2,2,14046.11,10,SF
2015000011524,141,01000,1,4,0,60398.273,5,SF
2015000011531,142,00703,1,2,0,27660.032,16,SF
2015000011561,143,01303,1,5,2,205289.3,29,SF
2015000011600,144,01105,1,2,1,49161.385,27,SF
2015000011693,145,01318,1,2,1,74552.43,16,SF
2015000011710,146,01301,1,2,2,176656.845,16,SF
2015000011834,147,01200,1,4,0,21717.447,3,SF
2015000011844,148,01316,1,3,1,221496.35,15,SF
2015000011944,149,01318,1,2,2,70662.738,93,SF
2015000011962,150,01317,1,2,0,34034.805,14,SF
2015000012004,151,00500,1,1,1,86437.6,7,MH
2015000012074,152,01305,1,1,0,0,53,SF
2015000012115,153,00703,1,2,0,101564.18,25,SF
2015000012162,154,01303,1,1,0,1944.846,13,SF
2015000012327,155,01314,1,3,2,119175.841,16,SF
2015000012359,156,01104,1,3,0,59155.7325,19,DUP
2015000012375,157,01316,1,1,1,61748.8605,29,SF
2015000012451,158,01200,1,2,2,371681.68,14,SF
2015000012488,159,01320,1,4,1,108047,13,SF
2015000012532,160,00704,1,1,0,31895.4744,13,SF
2015000012732,161,00400,1,3,2,64828.2,18,SF
2015000012740,162,00200,1,3,1,123605.768,11,SF
2015000012802,163,00500,1,4,1,47540.68,36,SF
2015000012887,164,00300,1,2,1,162394.641,12,SF
2015000012939,165,00500,1,2,0,97026.206,13,SF
2015000013000,166,01305,1,2,2,103725.12,16,SF
2015000013362,167,00500,1,3,2,124254.05,7,SF
2015000013409,168,00800,1,6,2,183679.9,12,MH
2015000013502,169,01320,1,3,2,181302.866,12,SF
2015000013546,170,00800,1,2,1,29712.925,25,SF
2015000013670,171,00901,1,1,0,19988.695,9,SF
2015000013763,172,00902,1,1,0,254990.92,8,MH
2015000013773,173,01000,1,4,1,48080.915,16,SF
2015000013875,174,00705,1,2,0,95621.595,12,SF
2015000013943,175,00705,1,2,0,28524.408,18,SF
2015000013955,176,01303,1,3,2,49485.526,16,SF
2015000013967,177,00500,1,1,0,59862.35988,19,SF
2015000013980,178,00200,1,2,1,64396.012,13,MH
2015000014085,179,00901,1,2,1,108306.3128,10,SF
2015000014301,180,00500,1,4,2,48405.056,20,SF
2015000014361,181,00600,1,1,0,21069.165,5,SF
2015000014370,182,00600,1,2,2,34575.04,20,MF
2015000014483,183,01317,1,1,0,27217.0393,22,MH
2015000014509,184,00300,1,1,0,34575.04,22,SF
2015000014644,185,00200,1,2,0,117176.9715,6,MH
2015000014841,186,00400,1,3,1,17287.52,77,MF
2015000015001,187,00100,1,2,1,45703.881,13,SF
2015000015338,188,00901,1,5,1,54023.5,21,SF
2015000015495,189,00100,1,1,0,40982.2271,5,MH
2015000015575,190,01321,1,3,0,150293.377,13,MH
2015000015660,191,01318,1,4,2,56616.628,15,SF
2015000015691,192,00600,1,5,3,73471.96,4,SF
2015000015714,193,01324,1,4,2,55968.346,13,SF
2015000015780,194,01105,1,2,2,48080.915,29,SF
2015000015851,195,01303,1,1,1,25931.28,14,MH
2015000015852,196,01317,1,4,1,163042.923,13,SF
2015000015908,197,00902,1,2,2,50782.09,39,SF
2015000015933,198,01200,1,2,2,78117.981,11,SF
2015000016237,199,01104,1,2,0,119391.935,20,SF
2015000016334,200,00100,1,1,1,20096.742,7,MH
2015000016336,201,01322,1,1,1,75632.9,22,MF
2015000016414,202,01301,1,2,1,1296.564,10,MF
2015000016422,203,01314,1,1,0,29820.972,13,MF
2015000016463,204,00705,1,3,0,21394.38647,27,MH
2015000016473,205,01316,1,5,2,103725.12,30,SF
2015000016501,206,01301,1,4,2,55536.158,24,SF
2015000016723,207,00901,1,2,2,143162.275,23,SF
2015000016824,208,01105,1,3,2,43975.129,79,SF
2015000016851,209,00500,1,2,0,535697.026,11,SF
2015000017094,210,00400,1,1,1,64828.2,8,SF
2015000017229,211,00703,1,4,3,97717.7068,7,SF
2015000017269,212,01324,1,1,1,59425.85,13,MF
2015000017331,213,01103,1,4,1,91839.95,7,SF
2015000017359,214,01200,1,1,1,82007.673,3,SF
2015000017406,215,01302,1,5,2,66556.952,32,SF
2015000017431,216,00300,1,4,0,10804.7,41,MH
2015000017513,217,00100,1,2,2,69150.08,86,MF
2015000017570,218,01104,1,2,2,48837.244,18,SF
2015000017672,219,00704,1,2,2,66989.14,15,SF
2015000017674,220,01305,1,2,2,54023.5,16,SF
2015000017766,221,00901,1,2,0,59317.803,16,SF
2015000017843,222,00705,1,4,2,79630.639,19,SF
2015000017977,223,01200,1,1,1,45379.74,26,SF
2015000018101,224,01317,1,2,2,117771.23,27,SF
2015000018225,225,01322,1,1,0,32846.288,21,MF
2015000018260,226,01316,1,4,4,103725.12,20,MH
2015000018654,227,01316,1,4,1,110099.893,18,SF
2015000018660,228,01322,1,5,2,104373.402,22,SF
2015000018700,229,01200,1,1,1,64828.2,5,SF
2015000018809,230,01317,1,2,2,64828.2,15,SF
2015000018823,231,01301,1,6,6,399233.665,12,SF
2015000019054,232,01301,1,1,0,47540.68,15,SF
2015000019058,233,00901,1,3,2,77793.84,30,MF
2015000019477,234,00600,1,2,0,20420.883,24,SF
2015000019516,235,00100,1,3,2,61262.649,12,SF
2015000019786,236,00600,1,5,5,76389.229,56,MH
2015000019810,237,01305,1,1,0,14046.11,19,SF
2015000019866,238,01316,1,1,0,30253.16,26,SF
2015000019946,239,01200,1,3,1,36844.027,43,MF
2015000020272,240,01318,1,2,0,66124.764,12,SF
2015000020422,241,01301,1,2,2,254990.92,15,SF
2015000020465,242,01317,1,1,0,8211.572,20,MF
2015000020528,243,01305,1,1,1,21069.165,13,DUP
2015000020552,244,00200,1,2,1,132897.81,4,SF
2015000020631,245,00600,1,1,1,135274.844,14,SF
2015000020716,246,01104,1,1,1,44303.59188,12,MF
2015000020722,247,01320,1,1,0,27011.75,21,SF
2015000020755,248,00400,1,3,1,143702.51,52,SF
2015000020787,249,01320,1,3,2,24850.81,51,MF
2015000020911,250,01302,1,2,1,51970.607,13,SF
2015000020935,251,01105,1,2,0,66989.14,15,SF
2015000021268,252,00400,1,2,2,76713.37,18,SF
2015000021336,253,00902,1,1,0,12965.64,38,MF
2015000021347,254,01103,1,5,2,87518.07,14,SF
2015000021463,255,01324,1,1,1,140461.1,27,SF
2015000021644,256,00500,1,1,1,91623.856,13,SF
2015000021673,257,00400,1,1,1,54023.5,27,SF
2015000021888,258,00800,1,1,0,12749.546,25,SF
2015000021889,259,01323,1,2,1,92920.42,18,SF
2015000021947,260,01000,1,1,1,20312.836,4,SF
2015000022052,261,00100,1,1,0,27011.75,11,SF
2015000022056,262,01105,1,5,1,86437.6,14,SF
2015000022134,263,01323,1,1,0,52834.983,11,MF
2015000022278,264,00800,1,3,0,33602.617,20,SF
2015000022438,265,00705,1,3,2,77901.887,16,SF
2015000022503,266,00902,1,1,1,13127.7105,5,MH
2015000022504,267,01317,1,2,0,43910.3008,15,SF
2015000022721,268,00300,1,2,2,86437.6,32,MF
2015000022740,269,00400,1,5,2,22689.87,6,MH
2015000022747,270,00705,1,1,0,28632.455,16,SF
2015000022785,271,01317,1,6,2,29712.925,8,SF
2015000022990,272,00902,1,1,0,7779.384,9,SF
2015000023125,273,01321,1,1,0,26903.703,11,MF
2015000023247,274,01318,1,2,2,105453.872,18,SF
2015000023266,275,01000,1,2,0,35547.463,13,SF
2015000023368,276,00800,1,1,1,70230.55,1,SF
2015000023387,277,00600,1,1,1,64828.2,20,MH
2015000023503,278,01319,1,2,0,168985.508,12,SF
2015000023620,279,00300,1,7,2,47972.868,11,SF
2015000023954,280,00500,1,2,1,23770.34,18,SF
2015000024025,281,01319,1,2,2,88058.305,19,SF
2015000024068,282,01324,1,2,2,89679.01,21,MF
2015000024168,283,01301,1,2,0,36303.792,10,SF
2015000024191,284,01000,1,2,1,63099.448,33,MH
2015000024215,285,00600,1,5,3,65260.388,21,SF
2015000024231,286,00600,1,2,0,23230.105,24,MF
2015000024491,287,01104,1,3,2,150640.20787,25,SF
2015000024512,288,00800,1,2,0,9724.23,23,MH
2015000024592,289,01320,1,1,1,18043.849,11,MH
2015000024636,290,00705,1,2,0,167580.897,14,SF
2015000024728,291,00300,1,2,0,72715.631,18,SF
2015000024917,292,00800,1,2,1,62127.025,30,MH
2015000024929,293,01105,1,2,1,1728.752,2,MH
2015000024942,294,00600,1,6,2,91839.95,5,SF
2015000025046,295,00703,1,3,2,111288.41,12,SF
2015000025192,296,01322,1,4,2,126414.99,29,SF
2015000025242,297,00300,1,2,2,38680.826,23,MF
2015000025352,298,00703,1,1,1,10804.7,21,MF
2015000025353,299,01321,1,1,0,20528.93,4,MF
2015000025378,300,00703,1,5,4,67680.6408,14,SF
2015000025439,301,00500,1,2,0,4937.7479,11,SF
2015000025496,302,00600,1,1,1,18367.99,16,MH
2015000025573,303,01318,1,5,1,108047,13,SF
2015000025582,304,01305,1,2,2,276924.461,13,SF
2015000025610,305,01324,1,6,5,146943.92,11,MF
2015000025663,306,00705,1,1,0,75957.041,12,SF
2015000025712,307,01321,1,2,2,109991.846,15,SF
2015000025810,308,00901,1,1,0,19124.319,10,SF
2015000025947,309,01316,1,4,2,181518.96,26,SF
2015000026149,310,01305,1,1,0,36735.98,11,SF
2015000026311,311,01317,1,2,2,125334.52,14,SF
2015000026363,312,00600,1,3,1,123173.58,15,SF
2015000026423,313,01305,1,3,2,171794.73,18,SF
2015000026446,314,00703,1,1,1,43218.8,41,MF
2015000026516,315,00300,1,2,0,106318.248,17,MH
2015000026562,316,01104,1,2,1,109775.752,24,SF
2015000026657,317,01314,1,1,1,64828.2,16,SF
2015000026664,318,00100,1,2,1,75524.853,6,SF
2015000026724,319,01305,1,2,2,48761.6111,22,MF
2015000026731,320,01317,1,3,2,113341.303,27,SF
2015000026930,321,00400,1,4,1,63315.542,23,SF
2015000026977,322,01319,1,3,3,132055.0434,14,SF
2015000027219,323,00901,1,6,1,44299.27,17,SF
2015000027349,324,01321,1,2,0,34358.946,13,MH
2015000027440,325,00800,1,1,1,32954.335,15,MF
2015000027443,326,01320,1,2,1,412739.54,14,SF
2015000027510,327,01301,1,1,0,22527.7995,14,SF
2015000027544,328,01301,1,2,0,15882.909,12,SF
2015000027548,329,01200,1,2,2,43218.8,25,SF
2015000027569,330,01318,1,2,0,97242.3,20,SF
2015000027661,331,01303,1,2,1,49485.526,14,SF
2015000027697,332,00704,1,2,0,77793.84,20,SF
2015000027789,333,00500,1,5,2,96810.112,13,SF
2015000027885,334,01000,1,3,2,106102.154,6,SF
2015000027888,335,01320,1,2,0,25391.045,14,MF
2015000028120,336,01316,1,1,0,15558.768,65,MH
2015000028128,337,01200,1,3,3,37816.45,26,SF
2015000028210,338,00703,1,2,0,33602.617,14,SF
2015000028269,339,01303,1,2,1,27660.032,22,MF
2015000028271,340,01104,1,3,3,149320.954,20,SF
2015000028283,341,00300,1,3,0,51430.372,13,SF
2015000028310,342,01200,1,5,3,82461.4704,29,SF
2015000028330,343,01302,1,5,2,66827.0695,11,SF
2015000028347,344,01103,1,2,0,105237.778,17,SF
2015000028509,345,00600,1,1,0,28956.596,19,MF
2015000028797,346,00901,1,3,2,78874.31,20,SF
2015000028901,347,01104,1,3,2,95513.548,92,SF
2015000028951,348,00705,1,2,0,75125.0791,17,SF
2015000029035,349,00704,1,2,1,27152.2111,47,MF
2015000029174,350,01301,1,4,2,34034.805,13,SF
2015000029557,351,01317,1,2,0,38572.779,16,SF
2015000029915,352,00704,1,1,0,0,65,MF
2015000029936,353,01318,1,2,1,69366.174,25,SF
2015000029940,354,00100,1,1,1,24202.528,8,SF
2015000030097,355,00704,1,3,1,18151.896,33,MF
2015000030626,356,00100,1,3,1,121985.063,5,SF
2015000030656,357,00100,1,1,0,27768.079,22,MF
2015000030676,358,01318,1,2,0,52943.03,17,SF
2015000030690,359,01319,1,4,4,232301.05,14,SF
2015000030723,360,01302,1,3,3,66556.952,23,SF
2015000030838,361,01321,1,3,1,217174.47,25,SF
2015000031092,362,00100,1,3,1,33710.664,12,SF
2015000031176,363,00200,1,1,0,0,25,DUP
2015000031177,364,00100,1,2,2,116204.5485,8,SF
2015000031213,365,00400,1,2,1,127927.648,6,SF
2015000031366,366,01316,1,2,2,108047,18,SF
2015000031572,367,00902,1,2,1,60074.132,2,SF
2015000031611,368,01319,1,2,2,145107.121,24,SF
2015000031616,369,01200,1,6,1,5402.35,11,SF
2015000031669,370,00703,1,1,1,102644.65,12,SF
2015000032030,371,00704,1,4,2,70230.55,28,SF
2015000032053,372,01103,1,1,0,20031.9138,10,MF
2015000032568,373,01314,1,1,1,130736.87,38,MF
2015000032738,374,00800,1,2,1,52943.03,7,SF
2015000032771,375,01322,1,3,1,68069.61,63,SF
2015000032894,376,01316,1,2,0,22581.823,12,SF
2015000032953,377,01319,1,1,1,140461.1,22,MF
2015000033014,378,00704,1,5,2,117879.277,12,SF
2015000033041,379,01322,1,2,1,65152.341,29,SF
2015000033059,380,00200,1,2,0,85897.365,22,SF
2015000033257,381,00100,1,4,2,137759.925,10,SF
2015000033314,382,01319,1,2,1,11885.17,8,SF
2015000033361,383,00600,1,2,1,58894.25876,4,MH
2015000033610,384,00902,1,2,0,20853.071,26,SF
2015000033691,385,01305,1,2,1,184440.55088,12,SF
2015000033759,386,01301,1,4,4,133978.28,14,SF
2015000033783,387,01318,1,5,0,5834.538,17,MF
2015000033835,388,00705,1,1,0,18367.99,14,MH
2015000034020,389,01322,1,3,2,321980.06,16,SF
2015000034056,390,00500,1,1,1,25391.045,38,MF
2015000034113,391,01301,1,1,0,14478.298,13,SF
2015000034144,392,01321,1,3,3,104373.402,20,SF
2015000034178,393,01319,1,5,2,45271.693,16,SF
2015000034254,394,01323,1,2,2,82115.72,13,SF
2015000034325,395,00902,1,2,0,9508.136,14,MH
2015000034353,396,01314,1,2,1,48642.7594,9,MF
2015000034389,397,01314,1,2,1,83736.425,13,SF
2015000034408,398,01321,1,1,0,123173.58,45,SF
2015000034411,399,01324,1,1,0,42894.659,13,SF
2015000034457,400,01320,1,2,1,139380.63,8,SF
2015000034679,401,01317,1,2,2,84924.942,16,SF
2015000034703,402,01318,1,1,0,32468.1235,13,SF
2015000034805,403,01314,1,2,2,39977.39,17,SF
2015000034840,404,01104,1,2,1,63423.589,15,MF
2015000034868,405,01301,1,2,2,121012.64,13,SF
2015000034919,406,01200,1,3,1,91515.809,32,SF
2015000035184,407,01302,1,5,3,99403.24,32,SF
2015000035274,408,00300,1,2,2,64828.2,11,SF
2015000035275,409,01323,1,4,2,53375.218,53,SF
2015000035276,410,01305,1,1,1,84276.66,32,SF
2015000035396,411,01321,1,3,1,104751.5665,25,SF
2015000035474,412,01318,1,2,0,23986.434,4,MH
2015000035556,413,01000,1,3,0,31700.9898,13,MH
2015000035638,414,01318,1,3,2,85141.036,24,SF
2015000035672,415,00300,1,1,0,57264.91,20,SF
2015000035682,416,01318,1,4,1,33170.429,16,MF
2015000035713,417,01320,1,2,1,156905.8534,8,SF
2015000035800,418,01323,1,5,2,75632.9,14,MH
2015000035871,419,00703,1,1,0,3241.41,10,MF
2015000035966,420,01303,1,4,2,128575.93,14,SF
2015000035983,421,01320,1,1,0,9508.136,13,MF
2015000036077,422,00300,1,2,0,25758.4048,11,MH
2015000036184,423,01322,1,3,2,116582.713,11,SF
2015000036205,424,00901,1,1,1,25931.28,57,MF
2015000036386,425,00200,1,2,0,30469.254,4,SF
2015000036448,426,01302,1,2,1,31592.9428,25,SF
2015000036506,427,00902,1,1,0,2333.8152,41,SF
2015000036522,428,00400,1,3,3,615543.759,34,SF
2015000036708,429,00400,1,2,2,66989.14,20,SF
2015000036744,430,00300,1,2,0,11885.17,2,SF
2015000036864,431,00703,1,1,0,14262.204,77,MF
2015000036919,432,01104,1,1,0,14046.11,8,SF
2015000036999,433,01200,1,2,1,96161.83,4,SF
2015000037035,434,01319,1,2,1,173362.49197,12,SF
2015000037282,435,01318,1,3,2,122095.27094,14,SF
2015000037419,436,01105,1,4,2,38896.92,15,SF
2015000037443,437,01301,1,2,0,7347.196,8,SF
2015000037686,438,00800,1,2,1,41057.86,17,SF
2015000037715,439,00902,1,3,2,106102.154,12,SF
2015000037763,440,00600,1,2,0,91299.715,28,SF
2015000038149,441,00300,1,2,2,86437.6,87,SF
2015000038437,442,01324,1,1,1,25931.28,22,SF
2015000038528,443,00703,1,2,1,27011.75,13,SF
2015000038548,444,00400,1,2,0,33494.57,80,SF
2015000038767,445,00500,1,3,2,97242.3,8,SF
2015000038785,446,01000,1,1,0,0,24,SF
2015000038806,447,00500,1,3,2,97242.3,13,SF
2015000038863,448,00200,1,1,1,60506.32,14,MH
2015000039104,449,01323,1,5,3,141433.523,14,SF
2015000039208,450,01322,1,1,0,9659.4018,17,MF
2015000039288,451,01303,1,2,1,36271.3779,20,SF
2015000039317,452,00704,1,3,1,65368.435,12,SF
2015000039598,453,00600,1,3,1,24731.9583,6,MH
2015000039657,454,00703,1,5,2,113449.35,69,SF
2015000039696,455,01323,1,4,1,417709.702,14,SF
2015000039731,456,01319,1,4,2,170714.26,26,SF
2015000039766,457,00600,1,2,1,62343.119,22,SF
2015000039780,458,00600,1,2,2,72823.678,3,SF
2015000039895,459,01317,1,2,2,309446.608,14,SF
2015000039928,460,01318,1,1,1,45379.74,22,MH
2015000040039,461,01322,1,1,0,18259.943,12,MF
2015000040064,462,01000,1,2,1,58669.521,17,MH
2015000040153,463,01305,1,3,3,144512.8625,15,SF
2015000040211,464,01323,1,3,3,112368.88,10,SF
2015000040246,465,01301,1,1,0,0,5,SF
2015000040364,466,01301,1,1,1,78874.31,15,DUP
2015000040369,467,01105,1,2,1,45919.975,14,SF
2015000040412,468,00200,1,3,0,10015.9569,6,MH
2015000040686,469,00600,1,1,0,17611.661,18,MF
2015000040723,470,01314,1,1,1,60614.367,22,MF
2015000040862,471,00901,1,1,1,15882.909,26,SF
2015000040863,472,00400,1,5,2,140461.1,12,SF
2015000040883,473,01305,1,6,2,60776.4375,75,SF
2015000040954,474,00901,1,3,0,15342.674,12,MH
2015000040998,475,00300,1,2,0,49593.573,10,SF
2015000041048,476,00704,1,2,1,44623.411,24,MF
2015000041239,477,01319,1,4,2,221496.35,11,SF
2015000041479,478,00300,1,2,2,50782.09,16,SF
2015000041569,479,01103,1,1,1,75903.0175,14,MF
2015000041626,480,01305,1,3,2,291726.9,13,SF
2015000041727,481,01316,1,6,1,155587.68,22,SF
2015000041764,482,01318,1,1,0,32846.288,13,MF
2015000041909,483,00500,1,1,0,27908.5401,12,SF
2015000041979,484,00100,1,2,0,86221.506,23,SF
2015000041989,485,00600,1,1,0,18800.178,30,SF
2015000042293,486,01314,1,4,2,198698.433,19,SF
2015000042475,487,01302,1,1,1,14046.11,10,MH
2015000042521,488,00200,1,3,2,80278.921,9,MH
2015000042528,489,01103,1,2,0,71851.255,16,MH
2015000042573,490,00500,1,2,1,109127.47,9,SF
2015000042611,491,00704,1,2,1,22149.635,14,SF
2015000042655,492,01314,1,2,0,68069.61,13,MF
2015000042748,493,00703,1,2,2,34034.805,21,SF
2015000042873,494,00800,1,2,0,44731.458,14,SF
2015000042910,495,00500,1,1,0,47108.492,31,SF
2015000042952,496,01303,1,1,1,90813.5035,13,SF
2015000043008,497,00500,1,1,0,15666.815,8,SF
2015000043244,498,00200,1,1,1,43218.8,23,SF
2015000043271,499,00200,1,2,2,60830.461,13,SF
2015000043400,500,01321,1,1,1,44029.1525,13,SF
2015000043485,501,01305,1,1,1,41598.095,20,MF
2015000043666,502,01323,1,1,1,25607.139,14,MF
2015000043757,503,01301,1,4,1,73471.96,24,SF
2015000043904,504,01321,1,3,2,119932.17,17,SF
2015000043965,505,00800,1,7,3,229059.64,20,SF
2015000044101,506,00100,1,1,0,56832.722,8,MH
2015000044265,507,00901,1,3,1,63747.73,37,DUP
2015000044316,508,00500,1,2,1,81035.25,10,SF
2015000044397,509,01314,1,3,3,55644.205,94,DUP
2015000044446,510,00705,1,7,3,175900.516,16,SF
2015000044486,511,01103,1,2,0,6266.726,15,SF
2015000044518,512,01322,1,1,0,61586.79,21,MF
2015000044552,513,00500,1,2,0,7347.196,10,SF
