GEOID,POPBASE,HHBASE,PINC,HHSIZ1,HHSIZ2,HHSIZ3,HHSIZ4,PAGE0TO14,PAGE15TO19,PAGE20TO29,PAGE30TO54,PAGE55TO64,PAGE65PLUS,PRACWHT,PRACBLK,PRACNAT,PRACASN,PRACPAC,PRACOTH,PRACMUL,HHINC1,HHINC2,HHINC3,HHINC4,STATEFP,COUNTYFP,TRACTCE,TRACTGEOID,PUMA,REGION
410290010022,712,294,24910,93,86,81,34,219,72,64,165,113,79,652,0,11,0,0,0,49,137,70,50,37,41,029,001002,41029001002,00901,1
410290010024,1363,460,28277,96,143,58,163,308,113,61,438,263,180,1198,1,0,9,0,148,7,10,87,108,255,41,029,001002,41029001002,00901,1
410290011001,912,428,29746,121,217,49,41,76,30,38,198,260,310,816,0,0,0,0,0,96,79,41,179,129,41,029,001100,41029001100,00901,1
410290011002,966,416,28907,101,171,39,105,119,90,127,42,361,227,865,0,0,0,0,0,101,32,94,58,232,41,029,001100,41029001100,00901,1
410290011004,2721,947,28929,118,360,49,420,430,259,269,784,284,695,2598,0,23,0,0,0,100,40,319,153,435,41,029,001100,41029001100,00901,1
410290012001,92,42,26735,7,33,0,2,5,0,0,40,40,7,92,0,0,0,0,0,0,7,0,26,9,41,029,001200,41029001200,00901,1
410290012003,1125,396,26761,92,157,86,61,216,17,254,249,108,281,970,0,0,47,4,10,94,32,99,146,119,41,029,001200,41029001200,00901,1
410290013011,1565,647,24608,152,248,55,192,249,42,278,535,97,364,1398,0,0,15,0,55,97,67,158,280,142,41,029,001301,41029001301,00902,1
410290013012,2521,847,27286,146,244,199,258,521,186,122,1021,268,403,2382,0,0,31,0,14,94,92,216,184,355,41,029,001301,41029001301,00902,1
410290013013,1039,245,31533,24,157,38,26,6,47,74,186,339,387,995,12,0,0,0,1,31,9,25,79,132,41,029,001301,41029001301,00902,1
410290013032,1884,623,18587,48,289,36,250,358,202,285,467,349,223,1369,0,227,15,0,0,273,18,214,265,126,41,029,001303,41029001303,00902,1
410290013033,2294,701,13558,119,93,123,366,873,224,272,825,34,66,2256,0,0,11,0,0,27,181,132,257,131,41,029,001303,41029001303,00902,1
410290013041,1321,519,39968,107,294,38,80,129,111,109,184,200,588,1304,0,0,0,0,17,0,104,171,84,160,41,029,001304,41029001304,00902,1
410290013043,1475,496,49245,59,175,104,158,343,98,45,484,193,312,1341,23,0,38,0,0,73,28,46,95,327,41,029,001304,41029001304,00902,1
410290013044,1155,450,18982,159,66,127,98,212,46,72,465,282,78,1079,17,0,0,0,59,0,146,95,76,133,41,029,001304,41029001304,00902,1
410290014012,1955,614,26560,42,258,17,297,535,75,72,626,188,459,1955,0,0,0,0,0,0,50,183,147,234,41,029,001401,41029001401,00902,1
410290014013,1829,545,20347,85,142,70,248,670,0,222,615,107,215,1776,0,0,0,0,0,53,58,113,123,251,41,029,001401,41029001401,00902,1
410290014031,1806,860,51441,262,443,0,155,225,103,62,314,308,794,1753,53,0,0,0,0,0,53,0,301,506,41,029,001403,41029001403,00902,1
410290015001,1028,394,114409,30,221,40,103,138,81,54,276,212,267,1010,0,0,0,0,18,0,0,15,66,313,41,029,001500,41029001500,00902,1
410290015002,1962,839,50422,231,412,94,102,389,23,71,520,269,690,1962,0,0,0,0,0,0,107,138,84,510,41,029,001500,41029001500,00902,1
410290015003,635,204,32777,13,41,107,43,104,12,171,197,70,81,605,0,0,0,0,0,30,0,33,85,86,41,029,001500,41029001500,00902,1
410290015004,1545,773,44101,236,379,103,55,164,17,186,521,186,471,1373,56,0,47,69,0,0,157,101,206,309,41,029,001500,41029001500,00902,1
410290016011,1047,566,19336,277,174,81,34,37,27,113,162,157,551,1008,0,0,0,0,0,39,162,255,119,30,41,029,001601,41029001601,00901,1
410290016013,2120,976,27346,273,372,204,127,384,43,545,614,207,327,1635,55,19,136,0,10,265,90,276,341,269,41,029,001601,41029001601,00901,1
410290016021,1282,572,23069,182,199,26,165,248,33,124,294,195,388,1070,17,0,60,0,38,97,81,196,207,88,41,029,001602,41029001602,00902,1
410290016022,1716,820,22037,397,106,137,180,409,0,95,734,206,272,1553,11,0,45,0,107,0,198,406,141,75,41,029,001602,41029001602,00902,1
410290016023,804,372,32691,33,300,0,39,43,0,0,155,136,470,804,0,0,0,0,0,0,0,50,266,56,41,029,001602,41029001602,00902,1
410290016024,1088,382,40580,83,145,73,81,221,96,66,244,232,229,1088,0,0,0,0,0,0,67,34,48,233,41,029,001602,41029001602,00902,1
410290016025,1501,707,26310,297,242,63,105,150,39,239,515,150,408,1342,0,0,26,0,12,121,185,179,159,184,41,029,001602,41029001602,00902,1
410290017012,2186,911,26731,222,347,180,162,232,258,271,694,302,429,1843,1,0,288,0,0,54,109,243,232,327,41,029,001701,41029001701,00902,1
410290017021,2409,1022,25332,333,460,113,116,396,125,789,589,304,206,2309,0,0,30,0,42,28,222,355,237,208,41,029,001702,41029001702,00902,1
410290017022,2093,1063,23489,539,331,50,143,189,45,340,547,320,652,1973,9,3,6,0,0,102,234,426,263,140,41,029,001702,41029001702,00902,1
410290018013,1907,919,25399,251,409,122,137,432,66,609,387,106,307,1660,41,40,0,0,36,130,302,299,143,175,41,029,001801,41029001801,00902,1
410290018014,969,532,34807,267,131,80,54,92,60,59,202,273,283,820,12,0,0,0,0,137,49,222,42,219,41,029,001801,41029001801,00902,1
410290018021,1384,655,57254,222,278,57,98,216,90,14,492,233,339,1316,0,0,68,0,0,0,50,142,184,279,41,029,001802,41029001802,00902,1
410290018022,1087,581,39811,257,179,117,28,66,13,88,127,308,485,1079,0,0,8,0,0,0,44,164,129,244,41,029,001802,41029001802,00902,1
410290019001,2121,836,19055,385,191,125,135,270,339,541,574,145,252,1856,17,12,50,0,14,172,257,302,168,109,41,029,001900,41029001900,00902,1
410290019002,1043,309,28478,107,160,9,33,11,250,277,219,51,235,828,56,28,48,0,0,83,94,68,36,111,41,029,001900,41029001900,00902,1
410290020001,1241,551,42306,205,207,50,89,90,40,249,471,175,216,1069,0,0,10,0,0,162,124,148,29,250,41,029,002000,41029002000,00902,1
410290020002,860,547,52572,304,198,40,5,27,50,170,257,234,122,788,0,0,0,0,0,72,113,136,94,204,41,029,002000,41029002000,00902,1
410290021001,1884,863,47107,226,457,81,99,130,34,268,355,519,578,1718,0,17,100,0,0,49,117,155,191,400,41,029,002100,41029002100,00902,1
410290021002,842,489,44462,286,155,8,40,70,13,107,231,172,249,745,37,0,22,0,25,13,155,78,104,152,41,029,002100,41029002100,00902,1
410290021003,558,301,80308,109,169,0,23,52,18,0,114,187,187,551,7,0,0,0,0,0,19,41,69,172,41,029,002100,41029002100,00902,1
410290022001,792,396,55089,118,202,57,19,12,40,117,156,132,335,760,0,0,15,0,0,17,32,111,64,189,41,029,002200,41029002200,00902,1
410290022002,1343,627,43622,238,243,105,41,115,46,304,403,175,300,1256,0,0,13,29,0,45,126,112,90,299,41,029,002200,41029002200,00902,1
410290022003,1128,510,80408,105,308,29,68,92,144,16,343,233,300,1113,0,0,15,0,0,0,32,63,48,367,41,029,002200,41029002200,00902,1
410290022004,1409,733,51283,327,247,72,87,201,57,172,280,218,481,1380,1,0,0,28,0,0,66,216,166,285,41,029,002200,41029002200,00902,1
410290023001,479,206,51948,62,64,37,43,27,25,24,110,136,157,447,0,3,0,0,1,28,17,55,54,80,41,029,002300,41029002300,00902,1
410290023002,1163,462,40270,64,244,96,58,151,124,31,298,229,330,1052,0,36,0,0,1,74,38,117,72,235,41,029,002300,41029002300,00902,1
410290024001,1207,308,34925,55,144,59,50,64,98,98,189,186,572,786,3,0,12,0,406,0,41,65,71,131,41,029,002400,41029002400,00902,1
410290024002,593,264,46056,77,124,34,29,102,31,7,172,115,166,564,10,0,10,0,0,9,50,55,43,116,41,029,002400,41029002400,00902,1
410290025001,1188,428,52303,36,196,87,109,86,78,135,343,391,155,1042,124,6,16,0,0,0,0,42,105,281,41,029,002500,41029002500,00902,1
410290025003,547,242,50722,43,143,27,29,49,20,32,162,181,103,531,8,0,0,0,0,8,31,31,62,118,41,029,002500,41029002500,00902,1
410290030011,1030,371,25344,31,209,38,93,231,62,73,282,145,237,1013,0,0,17,0,0,0,57,100,64,150,41,029,003001,41029003001,00902,1
