geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_20_control,hh_inc_21_40_control,hh_inc_41_60_control,hh_inc_61_75_control,hh_inc_76_100_control,hh_inc_100_plus_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_20_result,hh_inc_21_40_result,hh_inc_41_60_result,hh_inc_61_75_result,hh_inc_76_100_result,hh_inc_100_plus_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_20_diff,hh_inc_21_40_diff,hh_inc_41_60_diff,hh_inc_61_75_diff,hh_inc_76_100_diff,hh_inc_100_plus_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff
BG,D410290002033,508,128,213,39,128,91,145,121,71,74,6,1290,1135,0,5,0,0,98,52,259,68,401,246,211,105,508,128,213,39,128,91,145,121,71,74,6,1295,1138,0,5,0,0,98,54,262,67,399,245,211,106,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,3,-1,-2,-1,0,1
BG,D410290003001,868,145,226,226,271,146,179,144,116,125,158,2656,2377,0,170,51,0,33,25,811,92,362,663,539,189,868,145,225,226,272,146,177,144,116,125,160,2669,2389,0,172,49,0,35,24,805,93,359,663,538,190,0,0,-1,0,1,0,-2,0,0,0,2,13,12,0,2,-2,0,2,-1,-6,1,-3,0,-1,1
BG,D410290003002,1466,471,363,401,231,557,399,189,195,76,50,3608,3415,8,0,47,0,36,102,908,38,871,798,462,531,1466,471,362,401,232,557,399,189,195,76,50,3616,3427,6,0,47,0,35,101,907,38,866,799,461,529,0,0,-1,0,1,0,0,0,0,0,0,8,12,-2,0,0,0,-1,-1,-1,0,-5,1,-1,-2
BG,D410290004031,1210,326,470,151,263,91,160,198,178,160,423,3112,2850,27,5,37,0,49,144,521,288,235,633,690,745,1210,326,470,150,264,90,161,198,178,160,423,3124,2867,25,5,36,0,48,143,523,286,235,633,689,743,0,0,0,-1,1,-1,1,0,0,0,0,12,17,-2,0,-1,0,-1,-1,2,-2,0,0,-1,-2
BG,D410290004032,315,66,114,100,35,7,46,63,50,109,40,804,763,4,0,0,0,0,37,110,0,149,162,208,175,315,66,114,100,35,7,46,63,50,109,40,806,765,3,0,0,0,0,38,111,0,148,162,205,174,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,0,0,0,0,1,1,0,-1,0,-3,-1
BG,D410290004041,819,144,296,99,280,77,143,156,78,164,201,2338,2098,0,0,19,0,11,210,450,139,181,545,481,542,819,144,296,99,280,76,142,157,79,164,201,2347,2109,1,0,19,0,10,208,447,140,179,546,481,538,0,0,0,0,0,-1,-1,1,1,0,0,9,11,1,0,0,0,-1,-2,-3,1,-2,1,0,-4
BG,D410290004042,889,106,407,181,195,53,123,113,91,201,308,2473,2352,42,0,73,0,6,0,436,255,115,494,578,595,889,106,407,180,196,53,123,114,91,200,308,2482,2367,36,0,71,0,6,2,435,254,114,494,578,592,0,0,0,-1,1,0,0,1,0,-1,0,9,15,-6,0,-2,0,0,2,-1,-1,-1,0,0,-3
BG,D410290004051,675,188,177,121,189,229,98,170,37,42,99,1956,1688,55,0,22,75,26,90,526,47,351,549,246,237,675,190,178,120,187,229,98,170,37,42,99,2022,1744,50,0,44,65,26,93,528,50,369,568,255,248,0,2,1,-1,-2,0,0,0,0,0,0,66,56,-5,0,22,-10,0,3,2,3,18,19,9,11
BG,D410290004052,1067,394,392,107,174,219,186,281,192,91,98,2461,2295,42,0,0,88,7,29,348,106,305,659,604,439,1067,391,391,108,177,218,187,280,192,91,99,2408,2264,37,0,0,71,9,27,347,104,290,640,590,428,0,-3,-1,1,3,-1,1,-1,0,0,1,-53,-31,-5,0,0,-17,2,-2,-1,-2,-15,-19,-14,-11
BG,D410290004061,878,444,241,106,87,143,340,174,81,72,68,1759,1485,0,0,53,0,178,43,211,50,555,206,236,501,878,438,240,108,92,143,340,175,80,72,68,1656,1388,0,0,47,0,182,39,226,50,481,194,223,479,0,-6,-1,2,5,0,0,1,-1,0,0,-103,-97,0,0,-6,0,4,-4,15,0,-74,-12,-13,-22
BG,D410290004062,1084,265,368,140,311,104,134,182,233,217,214,3077,2613,9,16,98,69,0,272,780,246,327,785,507,432,1084,272,369,137,306,105,135,182,231,218,213,3210,2732,24,16,102,60,0,276,764,244,406,803,521,454,0,7,1,-3,-5,1,1,0,-2,1,-1,133,119,15,0,4,-9,0,4,-16,-2,79,18,14,22
BG,D410290005011,549,177,193,123,56,210,183,69,18,51,18,1225,1032,0,7,0,41,18,127,286,64,327,333,128,87,549,177,193,122,57,211,182,69,18,51,18,1224,1036,0,8,0,34,19,127,285,63,326,331,128,87,0,0,0,-1,1,1,-1,0,0,0,0,-1,4,0,1,0,-7,1,0,-1,-1,-1,-2,0,0
BG,D410290005012,729,247,271,104,107,103,153,158,91,80,144,1692,1595,0,19,12,0,36,30,370,81,259,404,290,288,729,246,272,104,107,102,154,158,90,81,144,1697,1603,0,17,12,0,35,30,370,80,255,405,291,286,0,-1,1,0,0,-1,1,0,-1,1,0,5,8,0,-2,0,0,-1,0,0,-1,-4,1,1,-2
BG,D410290005021,456,69,154,66,167,0,139,104,35,80,98,1604,1304,0,0,111,0,118,71,343,98,245,355,368,195,456,69,155,67,165,1,148,109,36,82,80,1504,1278,0,0,70,0,97,59,402,98,151,344,330,172,0,0,1,1,-2,1,9,5,1,2,-18,-100,-26,0,0,-41,0,-21,-12,59,0,-94,-11,-38,-23
BG,D410290005022,851,265,376,43,167,273,276,162,56,37,47,2564,2211,42,0,65,106,0,140,394,146,492,734,550,248,851,275,376,43,157,271,267,158,55,36,64,2859,2392,62,1,124,124,0,156,411,149,698,753,580,267,0,10,0,0,-10,-2,-9,-4,-1,-1,17,295,181,20,1,59,18,0,16,17,3,206,19,30,19
BG,D410290005023,1003,567,239,150,47,514,328,112,13,36,0,1953,1679,0,182,64,0,0,28,432,54,402,432,195,438,1003,558,237,149,59,515,327,112,12,36,1,1786,1517,0,181,39,0,23,26,348,52,289,428,202,445,0,-9,-2,-1,12,1,-1,0,-1,0,1,-167,-162,0,-1,-25,0,23,-2,-84,-2,-113,-4,7,7
BG,D410290006011,614,15,272,94,233,35,16,72,30,173,288,1966,1810,0,0,50,0,0,106,595,28,162,532,348,301,614,15,272,94,233,35,16,72,30,173,288,1984,1831,0,0,47,0,0,106,593,28,162,532,347,305,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,-3,0,0,0,-2,0,0,0,-1,4
BG,D410290006012,573,102,287,55,129,64,31,113,54,73,238,1489,1477,0,0,0,0,12,0,231,50,49,281,476,402,573,102,287,55,129,64,31,113,54,74,237,1503,1491,0,0,0,0,12,0,233,49,47,282,476,406,0,0,0,0,0,0,0,0,0,1,-1,14,14,0,0,0,0,0,0,2,-1,-2,1,0,4
BG,D410290006013,718,176,264,158,120,54,126,47,99,114,278,1768,1723,0,26,19,0,0,0,314,142,186,570,297,259,718,177,264,158,119,54,126,47,99,114,278,1779,1735,0,26,18,0,0,0,312,141,185,572,297,261,0,1,0,0,-1,0,0,0,0,0,0,11,12,0,0,-1,0,0,0,-2,-1,-1,2,0,2
BG,D410290006014,678,247,293,103,35,69,96,236,80,88,109,1447,1389,0,12,24,0,0,22,147,24,75,194,254,753,678,246,293,103,36,69,96,235,80,88,110,1421,1365,0,12,23,0,0,21,144,24,73,190,248,739,0,-1,0,0,1,0,0,-1,0,0,1,-26,-24,0,0,-1,0,0,-1,-3,0,-2,-4,-6,-14
BG,D410290006021,794,345,253,72,124,226,326,30,43,101,68,1684,1542,0,0,49,0,0,93,303,219,280,393,172,317,794,342,253,73,126,227,324,31,43,101,68,1621,1486,0,0,46,0,0,89,298,210,209,396,173,326,0,-3,0,1,2,1,-2,1,0,0,0,-63,-56,0,0,-3,0,0,-4,-5,-9,-71,3,1,9
BG,D410290006022,1182,598,407,94,83,339,337,226,56,111,113,2138,1943,64,0,46,23,0,62,258,29,104,521,455,771,1182,605,404,92,81,340,337,225,56,111,113,2269,2066,57,0,48,32,0,66,260,37,177,533,462,799,0,7,-3,-2,-2,1,0,-1,0,0,0,131,123,-7,0,2,9,0,4,2,8,73,12,7,28
BG,D410290006023,906,299,546,29,32,109,157,108,73,107,352,1658,1539,0,0,93,0,0,26,68,0,22,134,162,1272,906,297,547,30,32,110,158,108,72,107,351,1617,1501,0,0,91,0,0,25,68,0,18,129,158,1242,0,-2,1,1,0,1,1,0,-1,0,-1,-41,-38,0,0,-2,0,0,-1,0,0,-4,-5,-4,-30
BG,D410290007001,604,60,245,216,83,111,158,106,47,78,104,1586,1326,2,47,129,0,0,82,204,100,311,246,451,274,604,60,245,216,83,111,158,106,47,78,104,1585,1329,2,47,127,0,0,80,203,99,307,247,450,274,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,0,-2,0,0,-2,-1,-1,-4,1,-1,0
BG,D410290007002,962,111,429,110,312,101,388,197,103,100,73,2630,2364,0,0,0,0,195,71,554,240,184,782,628,242,962,111,428,110,313,100,389,197,102,100,74,2650,2382,0,0,0,0,197,71,555,239,184,782,629,243,0,0,-1,0,1,-1,1,0,-1,0,1,20,18,0,0,0,0,2,0,1,-1,0,0,1,1
BG,D410290007003,352,57,263,0,32,15,52,146,20,36,83,794,778,16,0,0,0,0,0,85,17,56,84,201,351,352,57,263,0,32,15,52,146,20,36,83,785,772,13,0,0,0,0,0,83,17,55,81,197,347,0,0,0,0,0,0,0,0,0,0,0,-9,-6,-3,0,0,0,0,0,-2,0,-1,-3,-4,-4
BG,D410290007004,699,109,313,84,193,134,169,104,35,168,89,1815,1432,107,41,23,0,100,112,537,60,220,407,277,314,699,109,313,84,193,134,168,105,35,168,89,1823,1452,93,41,23,0,102,112,534,60,220,407,278,314,0,0,0,0,0,0,-1,1,0,0,0,8,20,-14,0,0,0,2,0,-3,0,0,0,1,0
BG,D410290007005,943,149,314,260,220,49,101,333,71,162,227,2708,2587,17,0,0,0,0,104,786,94,259,726,517,326,943,149,315,260,219,50,102,332,70,162,227,2713,2598,14,0,0,0,0,101,780,93,258,723,517,327,0,0,1,0,-1,1,1,-1,-1,0,0,5,11,-3,0,0,0,0,-3,-6,-1,-1,-3,0,1
BG,D410290008001,1462,381,556,248,277,342,355,330,83,149,203,3669,3343,4,47,0,0,0,275,578,271,518,798,853,651,1462,381,556,248,277,341,355,331,83,150,202,3674,3350,4,46,0,0,0,274,579,268,514,797,850,646,0,0,0,0,0,-1,0,1,0,1,-1,5,7,0,-1,0,0,0,-1,1,-3,-4,-1,-3,-5
BG,D410290008002,954,319,401,160,74,282,206,140,150,50,126,1944,1784,0,37,33,0,0,90,283,36,183,368,490,584,954,319,400,161,74,282,207,140,149,50,126,1949,1791,0,37,32,0,0,89,283,36,180,370,490,583,0,0,-1,1,0,0,1,0,-1,0,0,5,7,0,0,-1,0,0,-1,0,0,-3,2,0,-1
BG,D410290009001,383,21,220,67,75,35,27,55,78,67,121,1033,1005,0,0,0,0,0,28,159,29,103,257,292,193,383,21,220,66,76,35,28,56,78,66,120,1032,1001,0,0,1,0,0,30,168,29,73,258,299,191,0,0,0,-1,1,0,1,1,0,-1,-1,-1,-4,0,0,1,0,0,2,9,0,-30,1,7,-2
BG,D410290009002,898,268,363,71,196,144,200,116,71,95,272,2205,2104,0,0,74,27,0,0,410,193,84,546,473,499,898,266,362,72,198,143,200,116,71,95,273,2149,2143,0,0,4,0,0,2,408,191,60,530,476,483,0,-2,-1,1,2,-1,0,0,0,0,1,-56,39,0,0,-70,-27,0,2,-2,-2,-24,-16,3,-16
BG,D410290009003,307,46,194,0,67,15,15,105,0,47,125,827,821,0,0,0,0,6,0,132,78,25,128,223,241,307,46,193,0,68,16,15,104,0,48,124,818,810,0,0,0,0,8,0,133,76,19,125,225,234,0,0,-1,0,1,1,0,-1,0,1,-1,-9,-11,0,0,0,0,2,0,1,-2,-6,-3,2,-7
BG,D410290009004,1726,480,466,348,432,393,338,193,184,348,270,4920,4483,25,2,0,32,43,335,1247,383,680,1301,718,591,1726,484,468,346,428,394,338,194,182,347,271,5021,4480,34,2,69,69,41,326,1232,384,738,1327,712,616,0,4,2,-2,-4,1,0,1,-2,-1,1,101,-3,9,0,69,37,-2,-9,-15,1,58,26,-6,25
BG,D410290010011,495,89,172,74,160,0,190,145,78,31,51,1447,1272,1,174,0,0,0,0,414,130,67,458,219,159,495,88,174,74,159,0,190,145,78,32,50,1444,1278,1,159,2,2,0,2,409,126,46,456,224,160,0,-1,2,0,-1,0,0,0,0,1,-1,-3,6,0,-15,2,2,0,2,-5,-4,-21,-2,5,1
BG,D410290010012,237,151,40,46,0,106,85,0,46,0,0,406,320,0,0,0,65,0,21,65,0,0,195,108,38,237,149,40,47,1,105,86,0,45,0,1,374,355,0,0,0,13,0,6,62,0,0,176,101,35,0,-2,0,1,1,-1,1,0,-1,0,1,-32,35,0,0,0,-52,0,-15,-3,0,0,-19,-7,-3
BG,D410290010013,1118,289,361,208,260,146,231,270,205,119,147,3022,2790,10,14,0,0,175,33,636,216,267,981,544,378,1118,293,364,206,255,146,232,271,206,118,145,3082,2752,17,25,34,35,175,44,630,218,305,995,540,389,0,4,3,-2,-5,0,1,1,1,-1,-2,60,-38,7,11,34,35,0,11,-6,2,38,14,-4,11
BG,D410290010014,801,360,331,80,30,85,262,348,76,30,0,1469,1437,0,0,32,0,0,0,149,52,76,275,172,745,801,359,331,80,31,86,261,346,76,31,1,1452,1445,1,0,2,2,0,2,152,52,49,276,178,734,0,-1,0,0,1,1,-1,-2,0,1,1,-17,8,1,0,-30,2,0,2,3,0,-27,1,6,-11
BG,D410290010021,941,168,404,96,273,108,165,204,163,151,150,2669,2509,26,58,64,0,7,5,707,123,344,598,488,409,941,167,405,96,273,108,165,204,163,151,150,2677,2523,23,55,60,0,7,9,707,123,341,597,485,408,0,-1,1,0,0,0,0,0,0,0,0,8,14,-3,-3,-4,0,0,4,0,0,-3,-1,-3,-1
BG,D410290010022,456,76,303,43,34,65,162,60,91,52,26,1025,1015,0,0,0,0,0,10,120,78,154,333,114,226,456,75,304,43,34,65,162,60,91,52,26,1023,1015,0,0,0,0,0,8,118,78,153,331,113,226,0,-1,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,-2,0,-1,-2,-1,0
BG,D410290010023,333,76,63,137,57,142,86,74,0,31,0,885,744,0,60,30,0,0,51,327,76,131,265,69,17,333,76,63,137,57,141,87,74,0,31,0,894,754,0,61,30,0,0,49,323,75,132,267,70,17,0,0,0,0,0,-1,1,0,0,0,0,9,10,0,1,0,0,0,-2,-4,-1,1,2,1,0
BG,D410290011001,688,139,443,38,68,179,109,68,65,141,126,1501,1300,0,0,0,0,0,201,139,0,91,306,549,416,688,139,444,38,67,179,109,68,65,141,126,1477,1334,0,0,0,0,0,143,134,0,90,299,542,411,0,0,1,0,-1,0,0,0,0,0,0,-24,34,0,0,0,0,0,-58,-5,0,-1,-7,-7,-5
BG,D410290011002,1037,296,327,91,323,65,300,136,72,162,302,2760,2625,0,0,0,0,30,105,515,260,117,758,524,586,1037,296,326,91,324,65,300,137,72,162,301,2799,2605,0,0,0,0,30,164,518,259,120,763,527,588,0,0,-1,0,1,0,0,1,0,0,-1,39,-20,0,0,0,0,0,59,3,-1,3,5,3,2
BG,D410290011003,349,81,96,97,75,44,153,13,66,37,36,1015,1015,0,0,0,0,0,0,229,69,215,102,189,211,349,81,96,97,75,44,153,13,66,37,36,1011,1011,0,0,0,0,0,0,227,68,214,103,188,208,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,0,-2,-1,-1,1,-1,-3
BG,D410290012001,1463,309,519,168,467,178,314,469,154,167,181,4266,3880,8,0,58,17,30,273,939,255,625,1068,763,616,1463,310,519,167,467,178,313,469,154,167,182,4294,3901,11,0,58,22,29,273,936,255,625,1072,763,618,0,1,0,-1,0,0,-1,0,0,0,1,28,21,3,0,0,5,-1,0,-3,0,0,4,0,2
BG,D410290012002,61,18,32,11,0,9,11,22,0,0,19,130,130,0,0,0,0,0,0,0,0,27,39,29,35,61,17,32,12,0,8,11,23,0,0,19,117,117,0,0,0,0,0,0,0,0,23,34,27,33,0,-1,0,1,0,-1,0,1,0,0,0,-13,-13,0,0,0,0,0,0,0,0,-4,-5,-2,-2
BG,D410290013011,445,59,172,62,152,56,90,120,70,37,72,1290,1236,0,0,0,0,0,54,160,174,211,290,270,185,445,63,171,60,151,55,91,118,70,39,72,1435,1365,4,0,0,0,0,66,166,174,221,315,338,217,0,4,-1,-2,-1,-1,1,-2,0,2,0,145,129,4,0,0,0,0,12,6,0,10,25,68,32
BG,D410290013012,80,30,40,10,0,29,0,26,7,18,0,664,567,13,4,0,0,3,77,0,9,34,143,316,162,80,21,42,15,2,31,0,30,8,11,0,164,150,3,1,0,0,0,10,2,7,7,31,82,35,0,-9,2,5,2,2,0,4,1,-7,0,-500,-417,-10,-3,0,0,-3,-67,2,-2,-27,-112,-234,-127
BG,D410290013013,386,84,74,48,180,110,5,130,45,0,96,1183,939,0,0,12,14,13,205,283,93,206,342,172,87,386,88,73,46,179,110,5,129,44,0,98,1301,1031,4,0,12,13,15,226,277,100,216,375,222,104,0,4,-1,-2,-1,0,0,-1,-1,0,2,118,92,4,0,0,-1,2,21,-6,7,10,33,50,17
BG,D410290013014,697,32,261,168,236,87,150,119,141,121,79,2462,2200,0,23,10,0,38,191,546,183,314,598,425,396,697,34,262,166,235,86,150,117,139,125,80,2743,2430,4,29,10,0,40,230,545,184,329,649,534,466,0,2,1,-2,-1,-1,0,-2,-2,4,1,281,230,4,6,0,0,2,39,-1,1,15,51,109,70
BG,D410290013021,441,93,231,98,19,106,28,48,75,71,113,926,914,0,0,0,0,0,12,26,52,17,335,267,229,441,93,231,98,19,107,28,48,75,71,112,936,924,0,0,0,0,0,12,27,52,20,337,269,230,0,0,0,0,0,1,0,0,0,0,-1,10,10,0,0,0,0,0,0,1,0,3,2,2,1
BG,D410290013022,876,60,373,128,315,29,76,99,99,57,516,2596,2093,0,0,123,0,38,342,610,136,179,703,450,518,876,60,373,128,315,29,77,101,100,58,511,2636,2128,1,0,122,0,38,347,600,137,195,716,455,518,0,0,0,0,0,0,1,2,1,1,-5,40,35,1,0,-1,0,0,5,-10,1,16,13,5,0
BG,D410290013023,790,126,293,32,339,101,162,221,211,81,14,2454,2080,0,15,0,0,87,272,417,139,469,745,373,311,790,127,294,32,337,101,161,219,209,80,20,2480,2071,0,50,1,0,85,273,428,142,462,745,373,310,0,1,1,0,-2,0,-1,-2,-2,-1,6,26,-9,0,35,1,0,-2,1,11,3,-7,0,0,-1
BG,D410290013024,712,74,177,197,264,81,166,174,161,130,0,2449,2134,67,64,0,0,0,184,593,177,475,635,313,256,712,74,177,198,263,81,166,175,160,130,0,2451,2160,73,30,1,0,0,187,598,179,469,631,312,254,0,0,0,1,-1,0,0,1,-1,0,0,2,26,6,-34,1,0,0,3,5,2,-6,-4,-1,-2
BG,D410290013025,464,33,196,100,135,100,120,131,15,29,69,1563,1313,138,0,0,0,0,112,302,49,204,456,364,188,464,33,196,100,135,100,120,130,15,30,69,1561,1309,137,0,1,0,0,114,296,49,214,450,361,187,0,0,0,0,0,0,0,-1,0,1,0,-2,-4,-1,0,1,0,0,2,-6,0,10,-6,-3,-1
BG,D410290014001,1545,497,449,203,396,191,179,186,173,144,672,3650,3563,26,0,0,0,0,61,846,169,474,653,844,664,1545,498,450,203,394,189,181,187,173,144,671,3692,3604,26,0,0,0,0,62,842,172,484,663,854,669,0,1,1,0,-2,-2,2,1,0,0,-1,42,41,0,0,0,0,0,1,-4,3,10,10,10,5
BG,D410290014002,752,47,188,189,328,23,73,48,203,68,337,2625,2440,0,0,0,0,134,51,336,411,231,820,555,272,752,47,188,189,328,23,73,49,202,69,336,2631,2442,0,0,0,0,136,53,338,412,232,807,546,267,0,0,0,0,0,0,0,1,-1,1,-1,6,2,0,0,0,0,2,2,2,1,1,-13,-9,-5
BG,D410290014003,1834,602,486,289,457,457,454,294,201,157,271,4654,4293,0,0,0,0,26,335,1138,180,800,991,710,835,1834,603,486,290,455,456,454,295,200,158,271,4682,4317,0,0,0,0,27,338,1127,184,810,997,713,836,0,1,0,1,-2,-1,0,1,-1,1,0,28,24,0,0,0,0,1,3,-11,4,10,6,3,1
BG,D410290015001,425,75,252,67,31,20,95,142,54,33,81,926,722,0,0,0,0,145,59,44,59,69,90,300,364,425,74,249,66,36,20,95,142,54,33,81,929,732,0,0,1,4,146,46,55,44,69,108,288,350,0,-1,-3,-1,5,0,0,0,0,0,0,3,10,0,0,1,4,1,-13,11,-15,0,18,-12,-14
BG,D410290015002,817,125,453,72,167,70,140,41,119,156,291,2052,2052,0,0,0,0,0,0,378,58,59,473,351,733,817,126,456,72,163,70,141,40,119,156,291,2066,2065,0,0,0,0,0,1,365,65,62,461,358,739,0,1,3,0,-4,0,1,-1,0,0,0,14,13,0,0,0,0,0,1,-13,7,3,-12,7,6
BG,D410290015003,280,64,44,100,72,35,69,76,17,34,49,788,751,0,0,0,0,0,37,164,32,57,323,83,129,280,65,44,102,69,35,71,75,17,34,48,797,746,0,0,1,4,0,46,161,38,58,320,83,130,0,1,0,2,-3,0,2,-1,0,0,-1,9,-5,0,0,1,4,0,9,-3,6,1,-3,0,1
BG,D410290015004,711,366,293,20,32,196,103,163,79,110,60,1163,1125,0,0,16,22,0,0,73,27,83,194,180,606,711,367,293,21,30,196,103,162,79,111,60,1164,1137,0,0,14,12,0,1,69,30,81,192,181,608,0,1,0,1,-2,0,0,-1,0,1,0,1,12,0,0,-2,-10,0,1,-4,3,-2,-2,1,2
BG,D410290016011,1480,490,529,210,251,278,501,374,119,92,116,3691,3192,9,15,0,0,282,193,632,262,575,910,617,695,1480,491,529,209,251,278,502,374,118,93,115,3691,3190,7,15,0,0,285,194,633,262,570,910,617,694,0,1,0,-1,0,0,1,0,-1,1,-1,0,-2,-2,0,0,0,3,1,1,0,-5,0,0,-1
